,HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH
0,759c0a93,couple with children,972eff55,partner in couple with children,1,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
1,759c0a93,couple with children,5e610014,partner in couple with children,1,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
2,759c0a93,couple with children,28a097ab,child living at home,1,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
3,759c0a93,couple with children,6c7764d8,child living at home,1,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
4,759c0a93,couple with children,2707d4e0,child living at home,1,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
0,bdd0d539,couple with children,21ecd92b,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
1,bdd0d539,couple with children,d5268abb,child living at home,0,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
2,bdd0d539,couple with children,a89314ac,child living at home,0,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
3,bdd0d539,couple with children,9554b54a,child living at home,0,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
4,bdd0d539,couple with children,c2921c9d,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
0,0dc2dd55,couple with children,8d478736,partner in couple with children,0,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
1,0dc2dd55,couple with children,4d5f864d,partner in couple with children,0,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
2,0dc2dd55,couple with children,56b25cd7,child living at home,0,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
3,0dc2dd55,couple with children,b58fe046,child living at home,0,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
0,ddf33ad3,single person household,934a8721,single person,1,1,1991-01-01,1992-01-01,1,0,,--,,--
0,7bfd8c0c,single parent household,0d302242,parent in single parent household,0,4,1991-01-01,1992-01-01,1,3,,--,,--
1,7bfd8c0c,single parent household,d13d415e,child living at home,0,4,1991-01-01,1992-01-01,1,3,,--,,--
2,7bfd8c0c,single parent household,5d71be0c,child living at home,0,4,1991-01-01,1992-01-01,1,3,,--,,--
3,7bfd8c0c,single parent household,ca9fd164,child living at home,0,4,1991-01-01,1992-01-01,1,3,,--,,--
0,ac244253,single person household,d9eda59d,single person,1,1,1991-01-01,1992-01-01,1,0,,--,,--
0,890f5cfe,single person household,f435ebc1,single person,0,1,1991-01-01,1992-01-01,1,0,,--,,--
0,81dc7733,couple with children,2061558e,partner in couple with children,1,3,1991-01-01,1992-01-01,2,1,2015.0,01,2010.0,05
1,81dc7733,couple with children,678c09b8,partner in couple with children,1,3,1991-01-01,1992-01-01,2,1,2015.0,01,2010.0,05
2,81dc7733,couple with children,d487548b,child living at home,1,3,1991-01-01,1992-01-01,2,1,2015.0,01,2010.0,05
0,d5d72785,couple with children,841030bd,partner in couple with children,0,3,1991-01-01,1992-01-01,2,1,2015.0,01,2010.0,05
1,d5d72785,couple with children,cf188e9e,partner in couple with children,0,3,1991-01-01,1992-01-01,2,1,2015.0,01,2010.0,05
2,d5d72785,couple with children,17184c4d,child living at home,0,3,1991-01-01,1992-01-01,2,1,2015.0,01,2010.0,05
0,4a40e9d6,couple with children,678a040d,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
1,4a40e9d6,couple with children,359722c1,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
2,4a40e9d6,couple with children,f069856a,child living at home,0,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
3,4a40e9d6,couple with children,6fabb65e,child living at home,0,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
4,4a40e9d6,couple with children,c338ceb1,child living at home,0,5,1991-01-01,1992-01-01,2,3,2015.0,01,2010.0,05
0,ed2b6967,couple without children,19fb8f76,partner in couple without children,0,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
1,ed2b6967,couple without children,3f4b9328,partner in couple without children,0,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
0,eb8f89c0,couple without children,6683d80c,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
1,eb8f89c0,couple without children,20196197,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
0,ff5ebf96,single parent household,91a48532,parent in single parent household,1,2,1991-01-01,1992-01-01,1,1,,--,,--
1,ff5ebf96,single parent household,e9e764db,child living at home,1,2,1991-01-01,1992-01-01,1,1,,--,,--
0,c790b0e3,single person household,c8625a2a,single person,1,1,1991-01-01,1992-01-01,1,0,,--,,--
0,1b10bc97,single person household,46b505a6,single person,1,1,1991-01-01,1992-01-01,1,0,,--,,--
0,98c789a8,single person household,56f21f55,single person,1,1,1991-01-01,1992-01-01,1,0,,--,,--
0,ea1d5d78,couple with children,8e4c24e7,partner in couple with children,1,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
1,ea1d5d78,couple with children,ce9427ee,partner in couple with children,1,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
2,ea1d5d78,couple with children,d7aa5f87,child living at home,1,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
3,ea1d5d78,couple with children,0cb80b58,child living at home,1,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
0,1db0cd85,couple with children,99cb489e,partner in couple with children,1,6,1991-01-01,1992-01-01,2,4,2015.0,01,2010.0,05
1,1db0cd85,couple with children,73f902fd,child living at home,1,6,1991-01-01,1992-01-01,2,4,2015.0,01,2010.0,05
2,1db0cd85,couple with children,ff6b9882,child living at home,1,6,1991-01-01,1992-01-01,2,4,2015.0,01,2010.0,05
3,1db0cd85,couple with children,e11d0757,partner in couple with children,1,6,1991-01-01,1992-01-01,2,4,2015.0,01,2010.0,05
4,1db0cd85,couple with children,a065a60e,child living at home,1,6,1991-01-01,1992-01-01,2,4,2015.0,01,2010.0,05
5,1db0cd85,couple with children,d1e4b544,child living at home,1,6,1991-01-01,1992-01-01,2,4,2015.0,01,2010.0,05
0,6f4cea9d,single parent household,2e034bc2,parent in single parent household,0,2,1991-01-01,1992-01-01,1,1,,--,,--
1,6f4cea9d,single parent household,2ab990a8,child living at home,0,2,1991-01-01,1992-01-01,1,1,,--,,--
0,fc4fdd10,couple without children,140ccda3,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
1,fc4fdd10,couple without children,710c492f,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
0,cb8a8b0d,couple without children,245acfda,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
1,cb8a8b0d,couple without children,24f5df1e,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
0,c9c36cce,single person household,d778175c,single person,1,1,1991-01-01,1992-01-01,1,0,,--,,--
0,562da4fb,single person household,d2e93468,single person,0,1,1991-01-01,1992-01-01,1,0,,--,,--
0,fc09c0ee,single parent household,ac9dc132,parent in single parent household,1,4,1991-01-01,1992-01-01,1,3,,--,,--
1,fc09c0ee,single parent household,1eb88f50,child living at home,1,4,1991-01-01,1992-01-01,1,3,,--,,--
2,fc09c0ee,single parent household,17f5c34f,child living at home,1,4,1991-01-01,1992-01-01,1,3,,--,,--
3,fc09c0ee,single parent household,2c355d86,child living at home,1,4,1991-01-01,1992-01-01,1,3,,--,,--
0,f848da2c,single parent household,6c0cae68,parent in single parent household,1,3,1991-01-01,1992-01-01,1,2,,--,,--
1,f848da2c,single parent household,4332d9a0,child living at home,1,3,1991-01-01,1992-01-01,1,2,,--,,--
2,f848da2c,single parent household,f5925e77,child living at home,1,3,1991-01-01,1992-01-01,1,2,,--,,--
0,807c705d,single person household,d3229821,single person,1,1,1991-01-01,1992-01-01,1,0,,--,,--
0,2161b400,single person household,ac9bbba4,single person,1,1,1991-01-01,1992-01-01,1,0,,--,,--
0,84e317f0,single parent household,75a3339c,parent in single parent household,0,2,1991-01-01,1992-01-01,1,1,,--,,--
1,84e317f0,single parent household,dc72956d,child living at home,0,2,1991-01-01,1992-01-01,1,1,,--,,--
0,8221a77b,couple without children,b8d0c87e,partner in couple without children,0,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
1,8221a77b,couple without children,0889e4ba,partner in couple without children,0,2,1991-01-01,1992-01-01,2,0,2015.0,01,2010.0,05
0,a9bbfbdb,couple with children,9601a3b6,partner in couple with children,0,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
1,a9bbfbdb,couple with children,5f17663d,partner in couple with children,0,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
2,a9bbfbdb,couple with children,a4c87342,child living at home,0,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
3,a9bbfbdb,couple with children,2d457d5f,child living at home,0,4,1991-01-01,1992-01-01,2,2,2015.0,01,2010.0,05
0,d51322ef,single person household,71ed4a86,single person,1,1,1992-01-01,1993-01-01,1,0,,--,,--
0,62fe1928,couple with children,2ed687a6,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
1,62fe1928,couple with children,62e811bb,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
2,62fe1928,couple with children,b57a12e3,child living at home,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
0,ec41be7d,couple with children,cc883317,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
1,ec41be7d,couple with children,b8b85917,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
2,ec41be7d,couple with children,63d409b8,child living at home,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
0,e94bc627,couple with children,cc497336,partner in couple with children,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
1,e94bc627,couple with children,55a4503d,child living at home,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
2,e94bc627,couple with children,c32be144,partner in couple with children,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
0,08af5dc9,single parent household,1206949c,parent in single parent household,1,4,1992-01-01,1993-01-01,1,3,,--,,--
1,08af5dc9,single parent household,d17ac422,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
2,08af5dc9,single parent household,afb1d667,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
3,08af5dc9,single parent household,e3e7553d,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
0,ddeecec6,single parent household,254f7859,parent in single parent household,0,2,1992-01-01,1993-01-01,1,1,,--,,--
1,ddeecec6,single parent household,66e9ba2b,child living at home,0,2,1992-01-01,1993-01-01,1,1,,--,,--
0,c6187a91,couple with children,b8432ead,partner in couple with children,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
1,c6187a91,couple with children,c15e4cb4,partner in couple with children,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
2,c6187a91,couple with children,4bfb08e0,child living at home,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
0,242d35c3,single person household,36677213,single person,1,1,1992-01-01,1993-01-01,1,0,,--,,--
0,e16d39e3,single parent household,461f62ba,parent in single parent household,0,3,1992-01-01,1993-01-01,1,2,,--,,--
1,e16d39e3,single parent household,c2d3fb66,child living at home,0,3,1992-01-01,1993-01-01,1,2,,--,,--
2,e16d39e3,single parent household,120a256a,child living at home,0,3,1992-01-01,1993-01-01,1,2,,--,,--
0,36360839,couple with children,9c1c5278,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
1,36360839,couple with children,a1e63301,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
2,36360839,couple with children,aed2a2ca,child living at home,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
0,5391eb95,single parent household,83848be9,parent in single parent household,1,3,1992-01-01,1993-01-01,1,2,,--,,--
1,5391eb95,single parent household,437acb0e,child living at home,1,3,1992-01-01,1993-01-01,1,2,,--,,--
2,5391eb95,single parent household,a9998b37,child living at home,1,3,1992-01-01,1993-01-01,1,2,,--,,--
0,367b57f2,single person household,20a30672,single person,1,1,1992-01-01,1993-01-01,1,0,,--,,--
0,a9e34ed8,single person household,887cd01c,single person,0,1,1992-01-01,1993-01-01,1,0,,--,,--
0,208bf2ca,couple with children,af1b4a1b,partner in couple with children,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
1,208bf2ca,couple with children,2ae09b76,partner in couple with children,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
2,208bf2ca,couple with children,8f260525,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
3,208bf2ca,couple with children,88285fb4,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
4,208bf2ca,couple with children,09f7a651,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
0,9764e583,couple with children,1cefb90b,partner in couple with children,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
1,9764e583,couple with children,c87c7eb3,partner in couple with children,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
2,9764e583,couple with children,1610981e,child living at home,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
3,9764e583,couple with children,37aba74f,child living at home,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
4,9764e583,couple with children,a553b7f9,child living at home,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
5,9764e583,couple with children,242743fd,child living at home,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
0,1226ed24,couple with children,30197924,partner in couple with children,1,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
1,1226ed24,couple with children,f99b413e,child living at home,1,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
2,1226ed24,couple with children,caffcfd9,child living at home,1,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
3,1226ed24,couple with children,be0a58d4,child living at home,1,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
4,1226ed24,couple with children,ecc584e2,partner in couple with children,1,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
5,1226ed24,couple with children,916b9948,child living at home,1,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
0,30aed750,couple without children,9c7fae3a,partner in couple without children,0,2,1992-01-01,1993-01-01,2,0,2015.0,01,2010.0,05
1,30aed750,couple without children,d35cf72b,partner in couple without children,0,2,1992-01-01,1993-01-01,2,0,2015.0,01,2010.0,05
0,51de5bb7,couple with children,a58f8773,partner in couple with children,0,7,1992-01-01,1993-01-01,2,5,2015.0,01,2010.0,05
1,51de5bb7,couple with children,fde16b96,child living at home,0,7,1992-01-01,1993-01-01,2,5,2015.0,01,2010.0,05
2,51de5bb7,couple with children,65a2e8d1,child living at home,0,7,1992-01-01,1993-01-01,2,5,2015.0,01,2010.0,05
3,51de5bb7,couple with children,0b2f1798,partner in couple with children,0,7,1992-01-01,1993-01-01,2,5,2015.0,01,2010.0,05
4,51de5bb7,couple with children,b0a21246,child living at home,0,7,1992-01-01,1993-01-01,2,5,2015.0,01,2010.0,05
5,51de5bb7,couple with children,17250469,child living at home,0,7,1992-01-01,1993-01-01,2,5,2015.0,01,2010.0,05
6,51de5bb7,couple with children,ec2e126b,child living at home,0,7,1992-01-01,1993-01-01,2,5,2015.0,01,2010.0,05
0,50a82ac0,couple with children,de5b3581,partner in couple with children,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
1,50a82ac0,couple with children,74fdfb73,partner in couple with children,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
2,50a82ac0,couple with children,f39962d5,child living at home,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
0,b3578b16,single parent household,02dae9b3,parent in single parent household,1,4,1992-01-01,1993-01-01,1,3,,--,,--
1,b3578b16,single parent household,ceb688ab,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
2,b3578b16,single parent household,6b9bb414,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
3,b3578b16,single parent household,803211ef,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
0,07a30e39,couple without children,6d9cc4bb,partner in couple without children,0,2,1992-01-01,1993-01-01,2,0,2015.0,01,2010.0,05
1,07a30e39,couple without children,431cea40,partner in couple without children,0,2,1992-01-01,1993-01-01,2,0,2015.0,01,2010.0,05
0,bdab68c0,couple with children,34c3bf80,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
1,bdab68c0,couple with children,853fe91f,child living at home,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
2,bdab68c0,couple with children,8f30630d,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
0,cf157266,couple with children,90d5c62a,partner in couple with children,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
1,cf157266,couple with children,bc90f08b,child living at home,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
2,cf157266,couple with children,9e0c9697,child living at home,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
3,cf157266,couple with children,38f180e6,child living at home,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
4,cf157266,couple with children,2bbc5d88,partner in couple with children,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
5,cf157266,couple with children,befc15c9,child living at home,0,6,1992-01-01,1993-01-01,2,4,2015.0,01,2010.0,05
0,4dfb7df9,single person household,eb1e611e,single person,0,1,1992-01-01,1993-01-01,1,0,,--,,--
0,f4ae0934,single person household,92ad9e37,single person,1,1,1992-01-01,1993-01-01,1,0,,--,,--
0,c486e628,couple without children,1e5842ee,partner in couple without children,0,2,1992-01-01,1993-01-01,2,0,2015.0,01,2010.0,05
1,c486e628,couple without children,247fbc76,partner in couple without children,0,2,1992-01-01,1993-01-01,2,0,2015.0,01,2010.0,05
0,17217684,couple with children,61243c95,partner in couple with children,0,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
1,17217684,couple with children,4f3a8f30,partner in couple with children,0,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
2,17217684,couple with children,ca5c5e48,child living at home,0,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
3,17217684,couple with children,860ec335,child living at home,0,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
4,17217684,couple with children,2d1ba0a5,child living at home,0,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
0,caea9e80,single person household,9b083d70,single person,0,1,1992-01-01,1993-01-01,1,0,,--,,--
0,4308ee85,single person household,f685e86d,single person,0,1,1992-01-01,1993-01-01,1,0,,--,,--
0,fd54ae85,couple with children,a97ae209,partner in couple with children,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
1,fd54ae85,couple with children,7c903c8b,partner in couple with children,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
2,fd54ae85,couple with children,93c3b503,child living at home,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
0,bcd22a38,single parent household,57c99fa1,parent in single parent household,1,2,1992-01-01,1993-01-01,1,1,,--,,--
1,bcd22a38,single parent household,37490794,child living at home,1,2,1992-01-01,1993-01-01,1,1,,--,,--
0,23ef24a3,single parent household,b26b57de,parent in single parent household,1,2,1992-01-01,1993-01-01,1,1,,--,,--
1,23ef24a3,single parent household,183ef5f3,child living at home,1,2,1992-01-01,1993-01-01,1,1,,--,,--
0,e4149f12,single parent household,dd318db8,parent in single parent household,1,3,1992-01-01,1993-01-01,1,2,,--,,--
1,e4149f12,single parent household,edecd5f5,child living at home,1,3,1992-01-01,1993-01-01,1,2,,--,,--
2,e4149f12,single parent household,d5bd699f,child living at home,1,3,1992-01-01,1993-01-01,1,2,,--,,--
0,d3ee50da,couple with children,f901aeea,partner in couple with children,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
1,d3ee50da,couple with children,ddd88a26,partner in couple with children,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
2,d3ee50da,couple with children,62058e8a,child living at home,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
3,d3ee50da,couple with children,65fbc6a1,child living at home,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
0,787d8e6d,couple with children,bbe7343e,partner in couple with children,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
1,787d8e6d,couple with children,7cdf5a71,child living at home,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
2,787d8e6d,couple with children,df16a0df,partner in couple with children,1,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
0,b1d5829e,couple with children,5f2120dd,partner in couple with children,0,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
1,b1d5829e,couple with children,c6a4c67e,partner in couple with children,0,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
2,b1d5829e,couple with children,16f92055,child living at home,0,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
3,b1d5829e,couple with children,2e738989,child living at home,0,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
0,b55a1feb,couple with children,11590e61,partner in couple with children,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
1,b55a1feb,couple with children,f531984b,partner in couple with children,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
2,b55a1feb,couple with children,3d190e9d,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
3,b55a1feb,couple with children,7be701c2,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
4,b55a1feb,couple with children,13cf5fcd,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
0,788e1575,couple with children,6c41c19b,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
1,788e1575,couple with children,4ab62457,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
2,788e1575,couple with children,e2df154c,child living at home,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
0,ae909ab2,couple without children,99bafd58,partner in couple without children,0,2,1992-01-01,1993-01-01,2,0,2015.0,01,2010.0,05
1,ae909ab2,couple without children,d6a8c905,partner in couple without children,0,2,1992-01-01,1993-01-01,2,0,2015.0,01,2010.0,05
0,61ca8b48,single parent household,04944dda,parent in single parent household,1,4,1992-01-01,1993-01-01,1,3,,--,,--
1,61ca8b48,single parent household,d1ccc4c3,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
2,61ca8b48,single parent household,1d4d2171,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
3,61ca8b48,single parent household,1a55e142,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
0,353a3870,couple with children,677fc918,partner in couple with children,0,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
1,353a3870,couple with children,03c6605f,partner in couple with children,0,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
2,353a3870,couple with children,67254760,child living at home,0,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
3,353a3870,couple with children,7b44a300,child living at home,0,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
0,a20bb171,couple with children,f47b6fce,partner in couple with children,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
1,a20bb171,couple with children,6cce39de,partner in couple with children,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
2,a20bb171,couple with children,d9b62737,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
3,a20bb171,couple with children,ed2760e4,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
4,a20bb171,couple with children,a514d4f3,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
0,22a31cbb,single person household,2ba7c873,single person,0,1,1992-01-01,1993-01-01,1,0,,--,,--
0,eebe68ff,single parent household,73714a86,parent in single parent household,0,3,1992-01-01,1993-01-01,1,2,,--,,--
1,eebe68ff,single parent household,203f72e6,child living at home,0,3,1992-01-01,1993-01-01,1,2,,--,,--
2,eebe68ff,single parent household,563983b6,child living at home,0,3,1992-01-01,1993-01-01,1,2,,--,,--
0,a6356b00,couple with children,0fab8cd4,partner in couple with children,0,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
1,a6356b00,couple with children,1ee23966,child living at home,0,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
2,a6356b00,couple with children,2e4a5aa7,child living at home,0,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
3,a6356b00,couple with children,072ccdc5,child living at home,0,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
4,a6356b00,couple with children,ba1c5bc0,partner in couple with children,0,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
0,7d843191,single person household,1c0cf745,single person,0,1,1992-01-01,1993-01-01,1,0,,--,,--
0,e50eb526,single person household,504039d3,single person,1,1,1992-01-01,1993-01-01,1,0,,--,,--
0,2da09ba8,couple with children,d5eae13d,partner in couple with children,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
1,2da09ba8,couple with children,c287df82,partner in couple with children,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
2,2da09ba8,couple with children,3ecfc7de,child living at home,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
3,2da09ba8,couple with children,f0a19adc,child living at home,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
0,0e1d9545,single parent household,9ce02f22,parent in single parent household,0,2,1992-01-01,1993-01-01,1,1,,--,,--
1,0e1d9545,single parent household,0f66bec7,child living at home,0,2,1992-01-01,1993-01-01,1,1,,--,,--
0,189a8f87,couple with children,870e1532,partner in couple with children,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
1,189a8f87,couple with children,9c292f29,partner in couple with children,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
2,189a8f87,couple with children,c85b38d8,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
3,189a8f87,couple with children,c70f17db,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
4,189a8f87,couple with children,201b0565,child living at home,1,5,1992-01-01,1993-01-01,2,3,2015.0,01,2010.0,05
0,bf77c58e,single person household,2ecb427e,single person,0,1,1992-01-01,1993-01-01,1,0,,--,,--
0,80bf8a50,couple with children,f7117412,partner in couple with children,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
1,80bf8a50,couple with children,9474d614,child living at home,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
2,80bf8a50,couple with children,8cd4678b,child living at home,1,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
