rinpersoon,GBAGEBOORTELAND,GBAGESLACHT,GBAGEBOORTELANDMOEDER,GBAGEBOORTELANDVADER,GBAAANTALOUDERSBUITENLAND,GBAHERKOMSTGROEPERING,GBAGENERATIE,GBAGEBOORTEJAAR,GBAGESLACHTMOEDER,GBAGESLACHTVADER,GBAGEBOORTEJAARMOEDER,GBAGEBOORTEJAARVADER,GBAHERKOMSTLAND,GBAGEBOORTELANDNL
219fa8e2,NL,1,NL,NL,0,Western,2,1956,2,1,1926,1924,NL,1
21a18ba5,NL,1,NL,France,1,Western,1,1996,2,1,1966,1970,NL,1
21a68758,NL,1,US,NL,1,Western,0,1992,2,1,1956,1955,NL,1
21ac7af8,NL,2,NL,France,1,Western,0,1969,2,1,1945,1949,NL,1
21aec3fc,NL,1,NL,France,1,Western,2,1952,2,1,1931,1922,NL,1
21b4e2f4,NL,1,NL,NL,0,Western,0,1987,1,1,1966,1966,NL,1
21b91614,NL,2,NL,NL,0,Western,0,1969,2,1,1947,1945,NL,1
21b9d5b1,NL,1,NL,NL,0,Western,0,1969,2,1,1934,1935,NL,1
21bce722,NL,1,NL,NL,0,Western,0,1958,2,2,1933,1932,NL,1
21bdfa8f,NL,1,NL,NL,0,Western,1,1992,2,1,1960,1956,NL,1
21c01aff,NL,2,NL,NL,0,Western,1,1967,2,1,1929,1937,NL,1
21c43d89,NL,1,NL,France,1,Western,0,1969,2,1,1940,1947,NL,1
21ce6013,France,2,France,NL,1,Western,2,1980,2,1,1958,1942,France,0
21e5d5b2,France,2,NL,NL,0,Western,-,1988,2,1,1958,1954,France,0
21e7dfaf,NL,1,NL,Egypt,1,Western,2,1964,2,1,1944,1925,NL,1
21eeadd7,NL,2,NL,NL,0,Western,0,1950,2,1,1927,1911,NL,1
21fb6452,NL,1,NL,France,1,Western,2,1992,2,1,1966,1957,NL,1
22076af3,NL,1,NL,NL,0,Western,1,1995,2,1,1975,1974,NL,1
220d210a,France,2,NL,NL,0,Western,0,1966,2,1,1933,1931,France,0
220d8d24,NL,1,NL,NL,0,Western,2,1984,2,1,1950,1956,NL,1
2217b83e,France,1,NL,France,1,Western,0,1953,2,1,1914,1920,France,0
22254b4d,NL,2,France,NL,1,Western,0,1991,2,1,1970,1962,NL,1
222b91bd,NL,1,NL,NL,0,Western,0,1952,2,1,1928,1921,NL,1
222edc39,NL,2,NL,France,1,Western,2,1982,2,1,1943,1955,NL,1
223d9fa8,France,1,NL,NL,0,Western,2,1966,2,1,1938,1936,France,0
22475d3a,NL,2,NL,NL,0,Western,1,1992,2,1,1960,1965,NL,1
22586eb8,NL,-,France,NL,1,Western,2,1997,2,1,1966,1963,NL,1
2265c48a,NL,2,NL,France,1,Western,2,1989,2,1,1965,1962,NL,1
2266509c,US,2,NL,NL,0,Western,1,1989,2,1,1962,1954,US,0
2271f95b,NL,1,NL,NL,0,Western,2,1958,2,1,1931,1922,NL,1
2276cd85,NL,2,NL,NL,0,Western,2,1952,2,1,1913,1924,NL,1
229b5bb9,NL,1,France,NL,1,Western,0,1993,1,1,1965,1955,NL,1
229d69d8,NL,1,Egypt,NL,1,Western,2,1958,2,1,1922,1931,NL,1
22a12cfe,NL,1,NL,NL,0,Western,2,1959,2,1,1924,1934,NL,1
22bdae7a,NL,2,NL,NL,0,Western,2,1958,2,1,1920,1931,NL,1
22c16789,NL,2,NL,NL,0,Western,0,1992,2,1,1966,1968,NL,1
22c52e2b,Egypt,2,NL,NL,0,Non-Western,2,1960,2,1,1933,1936,Egypt,0
22c7ce33,NL,2,NL,NL,0,Western,0,1965,2,1,1930,1926,NL,1
22ca6794,NL,2,NL,NL,0,Western,0,1969,2,1,1934,1949,NL,1
22cb5d5a,France,1,France,France,2,Western,1,1950,2,1,1921,1927,France,0
22d31c5d,NL,1,France,NL,1,Western,1,1994,2,1,1973,1960,NL,1
22d4273f,NL,2,NL,NL,0,Western,0,1967,2,1,1945,1931,NL,1
22da7773,NL,1,France,NL,1,Western,1,1987,2,1,1961,1950,NL,1
22ec3dbe,NL,1,NL,NL,0,Western,2,1982,2,1,1956,1950,NL,1
22f0076a,NL,1,NL,NL,0,Western,1,1963,2,1,1943,1927,NL,1
22f76c5e,NL,1,NL,NL,0,Western,1,1982,2,1,1948,1961,NL,1
22fab15d,NL,2,NL,NL,0,Western,1,1968,2,1,1930,1938,NL,1
23038b19,NL,2,NL,NL,0,Western,2,1961,2,1,1939,1930,NL,1
2309174e,NL,1,NL,NL,0,Western,2,1982,2,1,1943,1943,NL,1
2309e7a3,NL,1,NL,NL,0,Western,2,1980,2,1,1946,1954,NL,1
230bd944,NL,2,NL,NL,0,Western,2,1960,2,1,1928,1930,NL,1
230bf2a4,NL,1,NL,France,1,Western,0,1997,2,1,1970,1968,NL,1
230f962a,NL,2,NL,NL,0,Western,1,1982,2,1,1945,1954,NL,1
2311e7e1,NL,1,NL,NL,0,Western,0,1989,2,1,1963,1963,NL,1
2315b0f4,France,1,NL,NL,0,Western,1,1966,2,1,1933,1934,France,0
2320fe2f,NL,1,NL,NL,0,Western,1,1968,2,1,1933,1940,NL,1
2327ff3c,NL,2,France,NL,1,Western,2,1983,2,1,1959,1944,NL,1
232aced7,US,1,France,NL,1,Western,1,1961,2,1,1922,1930,US,0
232b471b,NL,2,NL,NL,0,Western,2,1970,2,1,1933,1938,NL,1
232be73b,NL,2,Egypt,France,2,Western,2,1997,2,1,1960,1974,NL,1
233589b4,NL,2,NL,NL,0,Western,1,1960,2,1,1936,1929,NL,1
23382aa5,NL,1,NL,NL,0,Western,0,1951,2,1,1914,1922,NL,1
23466919,NL,1,NL,NL,0,Western,0,1991,2,1,1965,1970,NL,1
23482e37,NL,1,NL,NL,0,Western,2,1989,2,1,1959,1958,NL,1
234cd6c2,NL,2,NL,NL,0,Western,2,1956,2,1,1928,1920,NL,1
234e0618,NL,2,NL,NL,0,Western,1,1963,2,1,1943,1937,NL,1
234e8cb1,NL,2,NL,NL,0,Western,0,1993,2,1,1962,1964,NL,1
2351a873,NL,2,NL,NL,0,Western,1,1981,2,1,1957,1949,NL,1
2356ec8e,NL,1,NL,NL,0,Western,-,1987,2,1,1967,1948,NL,1
235e2115,NL,1,US,France,2,Western,1,1952,2,1,1926,1922,NL,1
2361da7d,France,1,US,NL,1,Western,0,1955,2,1,1931,1932,France,0
236a92a2,NL,1,NL,NL,0,Western,0,1982,2,1,1946,1945,NL,1
2370fd7b,NL,2,NL,France,1,Western,1,1983,2,1,1950,1951,NL,1
23759038,NL,1,NL,NL,0,Western,1,1995,2,1,1971,1972,NL,1
23776292,NL,1,France,US,2,Western,2,1953,2,1,1923,1922,NL,1
2379ae2b,NL,2,NL,NL,0,Western,1,1994,2,1,1965,1974,NL,1
237e7816,France,1,France,NL,1,Western,2,1985,2,1,1954,1962,France,0
23846fef,NL,2,NL,NL,0,Western,0,1985,2,1,1957,1947,NL,1
238bf2ab,NL,2,NL,US,1,Western,1,1955,2,1,1920,1919,NL,1
239b42de,NL,2,US,US,2,Western,2,1983,2,1,1961,1946,NL,1
23a218a7,NL,2,NL,NL,0,Western,1,1965,2,1,1936,1939,NL,1
23a26729,NL,1,NL,France,1,Western,1,1983,2,1,1956,1950,NL,1
23a26ec5,France,2,France,NL,1,Western,0,1950,2,1,1917,1922,France,0
23a6cfea,NL,2,NL,NL,0,Western,0,1969,2,1,1938,1939,NL,1
23a8af7c,NL,1,NL,NL,0,Western,1,1997,2,1,1967,1959,NL,1
23b43e22,NL,2,NL,NL,0,Western,0,1982,2,1,1950,1945,NL,1
23bc62d5,NL,2,NL,NL,0,Western,1,1960,2,1,1935,1929,NL,1
23bfe72c,NL,2,NL,NL,0,Western,0,1988,2,1,1960,1951,NL,1
23c102af,US,2,NL,France,1,Western,0,1950,2,1,1929,1916,US,0
23c8a524,NL,2,NL,NL,0,Western,0,1998,2,1,1967,1969,NL,1
23cc9e99,NL,2,NL,NL,0,Western,1,1980,2,1,1943,1946,NL,1
23e0cf50,NL,1,NL,NL,0,Western,0,1992,2,1,1970,1964,NL,1
23e1d450,NL,1,NL,France,1,Western,1,1995,2,1,1957,1971,NL,1
23e827b0,NL,1,NL,NL,0,Western,1,1952,2,1,1931,1923,NL,1
23ea06e9,NL,1,NL,France,1,Western,1,1990,2,1,1962,1959,NL,1
23eaa695,NL,1,France,NL,1,Western,2,1986,2,1,1962,1962,NL,1
23f9bc5c,NL,1,NL,France,1,Western,2,1955,2,1,1934,1926,NL,1
23fbbb43,NL,1,NL,NL,0,Western,0,1970,2,1,1950,1935,NL,1
2402685c,US,1,NL,NL,0,Western,1,1985,2,1,1959,1956,US,0
24041340,NL,1,NL,NL,0,Western,2,1952,1,1,1931,1921,NL,1
2411b695,France,2,NL,NL,0,Western,1,1962,2,1,1937,1934,France,0
24127b3e,NL,2,NL,France,1,Western,1,1955,2,1,1917,1935,NL,1
2413ab1f,US,1,NL,NL,0,Western,0,1956,2,1,1928,1917,US,0
241be019,NL,1,NL,France,1,Western,1,1956,2,1,1930,1917,NL,1
2420a0e8,NL,2,NL,NL,0,Western,2,1996,2,1,1961,1964,NL,1
24230625,NL,1,NL,NL,0,Western,1,1987,2,1,1966,1956,NL,1
242582ba,France,2,NL,France,1,Western,1,1968,2,1,1937,1929,France,0
2425c8df,NL,2,NL,NL,0,Western,1,1980,2,1,1950,1947,NL,1
2427ec37,NL,1,NL,NL,0,Western,1,1997,2,1,1974,1972,NL,1
2428fa4a,NL,2,NL,NL,0,Western,2,1967,2,1,1944,1942,NL,1
242b6b8e,NL,2,NL,NL,0,Western,2,1986,2,1,1954,1965,NL,1
242d595f,US,2,NL,NL,0,Western,1,1988,2,1,1962,1950,US,0
242e36f7,NL,2,NL,NL,0,Western,2,1958,2,1,1921,1937,NL,1
242ec6cd,NL,1,NL,France,1,Western,2,1991,2,1,1967,1968,NL,1
24308e4d,NL,1,NL,NL,0,Western,1,1983,2,1,1955,1953,NL,1
24337484,NL,2,NL,NL,0,Western,0,1995,2,1,1956,1970,NL,1
24356081,NL,2,NL,NL,0,Western,2,1984,2,1,1948,1950,NL,1
243999fd,NL,1,NL,NL,0,Western,2,1967,2,1,1935,1942,NL,1
243b38dc,NL,2,NL,NL,0,Western,2,1988,2,1,1952,1949,NL,1
244125ad,NL,2,France,NL,1,Western,2,1995,2,1,1959,1964,NL,1
2444b88f,France,1,NL,NL,0,Western,2,1966,2,1,1937,1930,France,0
24535d72,NL,2,NL,NL,0,Western,2,1982,2,1,1945,1960,NL,1
24537d85,NL,2,NL,NL,0,Western,2,1965,2,1,1938,1936,NL,1
24565357,NL,2,NL,France,1,Western,2,1955,2,1,1916,1918,NL,1
2457f842,France,1,NL,NL,0,Western,0,1954,2,1,1930,1927,France,0
24585a0d,NL,1,NL,NL,0,Western,1,1992,2,1,1961,1954,NL,1
24587c09,NL,1,NL,NL,0,Western,2,1998,2,1,1969,1975,NL,1
245e910d,NL,2,NL,NL,0,Western,1,1980,2,1,1952,1953,NL,1
24608195,Egypt,1,NL,NL,0,Non-Western,2,1954,2,1,1926,1915,Egypt,0
2462dc0c,NL,1,US,NL,1,Western,2,1993,2,1,1970,1960,NL,1
246b9e3b,France,1,NL,NL,0,Western,-,1965,2,1,1932,1928,France,0
246febb7,France,1,NL,NL,0,Western,1,1952,2,1,1916,1926,France,0
2470c7c3,NL,2,NL,France,1,Western,2,1964,2,1,1935,1942,NL,1
2474fbaa,France,1,NL,NL,0,Western,1,1981,2,1,1955,1953,France,0
2476141f,NL,1,NL,France,1,Western,2,1956,2,1,1928,1925,NL,1
247acbcd,NL,-,France,NL,1,Western,1,1960,2,1,1933,1929,NL,1
247fcf9c,France,2,France,NL,1,Western,0,1952,2,1,1917,1927,France,0
248836b8,NL,1,NL,NL,0,Western,1,1957,2,1,1920,1926,NL,1
24894e2a,NL,2,NL,NL,0,Western,0,1954,2,1,1924,1924,NL,1
248acc87,NL,1,NL,NL,0,Western,1,1993,2,1,1960,1962,NL,1
24917ab0,NL,1,NL,NL,0,Western,2,1968,2,1,1942,1947,NL,1
24a72fda,NL,2,NL,NL,0,Western,2,1990,2,1,1970,1966,NL,1
24a9377e,NL,2,NL,NL,0,Western,1,1955,2,1,1929,1917,NL,1
24b4734a,NL,1,NL,NL,0,Western,0,1964,2,-,1941,1936,NL,1
24b8fc50,NL,1,France,NL,1,Western,2,1958,2,1,1930,1928,NL,1
24be25e7,NL,1,NL,NL,0,Western,1,1989,2,1,1955,1969,NL,1
24bff6d3,France,-,NL,NL,0,Western,2,1959,2,1,1932,1930,France,0
24c1b291,NL,1,NL,NL,0,Western,2,1998,2,1,1969,1975,NL,1
24c44754,NL,1,NL,NL,0,Western,0,1965,2,1,1939,1935,NL,1
24c4a9fa,NL,1,NL,NL,0,Western,0,1952,2,1,1921,1914,NL,1
24cc9b84,France,2,NL,NL,0,Western,1,1983,2,1,1956,1963,France,0
24cdab25,NL,2,France,NL,1,Western,0,1969,2,1,1949,1937,NL,1
24cee02a,France,2,NL,NL,0,Western,1,1952,2,1,1927,1929,France,0
24d39768,France,2,NL,NL,0,Western,0,1988,1,1,1952,1964,France,0
24d57917,NL,2,NL,NL,0,Western,2,1952,2,1,1929,1925,NL,1
24d7eb34,NL,2,France,NL,1,Western,0,1967,2,1,1945,1934,NL,1
24db1436,NL,1,NL,France,1,Western,2,1985,2,1,1952,1959,NL,1
24dd1cae,NL,2,NL,France,1,Western,2,1987,2,1,1948,1967,NL,1
24e1252d,NL,1,NL,NL,0,Western,1,1983,2,1,1958,1962,NL,1
24e12c80,NL,2,NL,NL,0,Western,1,1955,2,1,1921,1927,NL,1
24e7c089,NL,1,France,NL,1,Western,1,1950,2,1,1919,1919,NL,1
24e87696,NL,2,NL,NL,0,Western,0,1981,2,1,1954,1955,NL,1
24e93aba,NL,1,France,NL,1,Western,0,1951,2,1,1931,1924,NL,1
24f03fdb,NL,2,France,France,2,Western,1,1991,2,1,1960,1971,NL,1
24f2bee3,NL,2,NL,NL,0,Western,1,1986,2,1,1965,1959,NL,1
24fc5963,NL,1,NL,France,1,Western,1,1965,2,1,1936,1938,NL,1
24fd1e6f,NL,1,NL,NL,0,Western,1,1964,2,1,1927,1943,NL,1
2501e10e,NL,2,Egypt,NL,1,Western,0,1968,2,1,1948,1940,NL,1
250df8a7,NL,1,NL,NL,0,Western,0,1987,2,1,1952,1958,NL,1
2515a84e,NL,1,US,NL,1,Western,1,1983,2,1,1954,1960,NL,1
251dbb5e,NL,1,NL,NL,0,Western,1,1970,2,1,1944,1931,NL,1
2521a0e4,NL,1,NL,France,1,Western,1,1983,2,1,1957,1952,NL,1
2522912f,NL,1,NL,NL,0,Western,1,1988,2,1,1952,1965,NL,1
252620c3,NL,2,NL,France,1,Western,2,1970,2,1,1950,1945,NL,1
2526e374,France,2,France,NL,1,Western,1,1958,2,1,1924,1933,France,0
2529c234,NL,1,NL,NL,0,Western,0,1950,2,1,1922,1917,NL,1
25348029,NL,1,NL,NL,0,Western,0,1987,2,1,1948,1966,NL,1
25348964,NL,2,France,NL,1,Western,2,1983,2,1,1950,1944,NL,1
25406a94,NL,2,NL,France,1,Western,0,1964,2,1,1928,1939,NL,1
254d72ad,NL,1,NL,NL,0,Western,2,1951,2,1,1918,1918,NL,1
2550dca1,NL,2,NL,NL,0,Western,2,1955,2,1,1930,1919,NL,1
2553cd84,NL,2,NL,NL,0,Western,1,1985,2,1,1947,1956,NL,1
255c83ab,France,1,NL,NL,0,Western,2,1959,2,1,1939,1935,France,0
256310a4,NL,1,NL,NL,0,Western,0,1994,2,1,1966,1957,NL,1
2563296d,NL,2,NL,NL,0,Western,1,1998,2,1,1971,1972,NL,1
25680cb8,NL,2,NL,NL,0,Western,0,1996,2,1,1968,1969,NL,1
256e0eee,NL,1,NL,NL,0,Western,1,1981,2,1,1961,1946,NL,1
2574209e,France,1,NL,NL,0,Western,1,1983,2,1,1960,1952,France,0
25836a3f,NL,1,NL,NL,0,Western,2,1994,2,1,1969,1963,NL,1
2585405a,NL,1,NL,NL,0,Western,0,1966,2,1,1941,1936,NL,1
258bb536,NL,2,NL,NL,0,Western,0,1967,2,1,1946,1935,NL,1
258f2537,NL,2,NL,NL,0,Western,0,1991,2,1,1963,1965,NL,1
258f8688,NL,2,NL,NL,0,Western,2,1966,2,1,1930,1940,NL,1
25930ab4,NL,2,NL,NL,0,Western,0,1996,2,1,1961,1964,NL,1
25945fe1,France,1,France,NL,1,Western,1,1952,2,1,1921,1918,France,0
259caa58,NL,2,NL,NL,0,Western,1,1987,2,1,1959,1956,NL,1
259e68bf,NL,2,NL,NL,0,Western,1,1952,2,1,1928,1916,NL,1
25a348ed,NL,2,NL,NL,0,Western,-,1987,2,1,1964,1959,NL,1
25a38f83,NL,1,France,France,2,Western,2,1992,2,1,1969,1954,NL,1
25ab19fc,NL,2,France,US,2,Western,2,1997,2,1,1976,1973,NL,1
25b1343a,NL,2,NL,NL,0,Western,2,1982,2,1,1949,1944,NL,1
25b17016,France,1,NL,NL,0,Western,1,1990,2,1,1969,1966,France,0
25b95379,NL,1,NL,France,1,Western,1,1970,-,1,1945,1939,NL,1
25c5a94e,NL,2,US,NL,1,Western,0,1995,2,1,1970,1956,NL,1
25cc7c5a,NL,1,NL,NL,0,Western,1,1997,2,1,1975,1974,NL,1
25d11f7a,NL,1,NL,France,1,Western,1,1999,2,1,1960,1975,NL,1
25d1c12b,NL,2,France,NL,1,Western,1,1981,2,1,1951,1948,NL,1
25d32342,NL,1,US,NL,1,Western,1,1957,2,1,1931,1931,NL,1
25d5891d,NL,1,NL,NL,0,Western,1,1952,2,1,1927,1927,NL,1
25daa6ab,NL,2,US,NL,1,Western,0,1996,2,1,1973,1959,NL,1
25df52b2,NL,2,US,NL,1,Western,2,1961,2,1,1938,1933,NL,1
25e266f8,NL,1,NL,NL,0,Western,0,1962,2,1,1939,1923,NL,1
25e8a751,France,1,NL,NL,0,Western,1,1987,2,1,1961,1953,France,0
25e96945,NL,1,NL,NL,0,Western,2,1992,2,1,1960,1956,NL,1
25efb810,NL,2,NL,NL,0,Western,0,1989,2,1,1953,1952,NL,1
25efbdca,NL,1,NL,NL,0,Western,1,1999,2,1,1968,1977,NL,1
25f62937,NL,2,NL,NL,0,Western,0,1954,2,1,1923,1924,NL,1
25f97a0a,NL,1,NL,NL,0,Western,0,1953,2,1,1920,1916,NL,1
25fe75ed,NL,1,NL,NL,0,Western,2,1981,2,1,1954,1950,NL,1
25ff36a6,NL,2,NL,NL,0,Western,1,1983,2,1,1948,1959,NL,1
260c2938,NL,2,NL,NL,0,Western,1,1989,2,1,1954,1951,NL,1
260e7644,NL,1,NL,NL,0,Western,2,1960,2,1,1930,1925,NL,1
261744e9,France,1,NL,NL,0,Western,0,1962,2,1,1936,1927,France,0
2620134c,NL,1,NL,NL,0,Western,0,1961,2,1,1934,1933,NL,1
262cee4f,NL,2,NL,NL,0,Western,0,1998,2,1,1972,1972,NL,1
26373122,NL,2,NL,NL,0,Western,0,1968,2,1,1942,1931,NL,1
263c0ada,NL,1,France,NL,1,Western,2,1950,2,1,1918,1919,NL,1
264b70b0,NL,1,NL,NL,0,Western,1,1955,2,1,1933,1927,NL,1
264d6d23,NL,2,US,NL,1,Western,0,1988,2,1,1958,1953,NL,1
265163e0,NL,1,France,NL,1,Western,1,1959,2,1,1922,1924,NL,1
265344cb,NL,2,France,NL,1,Western,0,1981,2,1,1952,1960,NL,1
26541d3d,NL,1,NL,NL,0,Western,0,1998,2,1,1971,1962,NL,1
2658415c,France,1,France,NL,1,Western,0,1984,2,1,1953,1959,France,0
2660314d,NL,1,France,NL,1,Western,2,1993,2,1,1961,1956,NL,1
2660a6d5,NL,1,NL,NL,0,Western,2,1989,2,1,1968,1955,NL,1
26618b11,France,2,NL,France,1,Western,1,1959,2,1,1939,1924,France,0
2664625a,France,1,NL,NL,0,Western,0,1957,2,1,1937,1920,France,0
2664b91f,NL,2,NL,NL,0,Western,1,1991,2,1,1970,1965,NL,1
2665a6ec,NL,2,NL,France,1,Western,2,1986,2,1,1947,1948,NL,1
2666b0c6,NL,2,Egypt,NL,1,Western,0,1969,2,1,1940,1945,NL,1
26680290,France,2,NL,NL,0,Western,2,1983,2,1,1957,1946,France,0
266cd6d3,NL,2,NL,NL,0,Western,0,1963,2,1,1928,1930,NL,1
2674aa40,NL,2,NL,NL,0,Western,0,1980,2,1,1956,1958,NL,1
2681011e,US,-,NL,NL,0,Western,2,1968,2,1,1942,1943,US,0
26899e3e,NL,2,NL,NL,0,Western,0,1997,2,1,1960,1963,NL,1
269e3cb1,NL,1,France,NL,1,Western,1,1981,2,1,1961,1947,NL,1
26a2ea0f,NL,1,Egypt,NL,1,Western,2,1966,2,1,1938,1936,NL,1
26a46b44,NL,1,NL,NL,0,Western,1,1959,2,1,1924,1935,NL,1
26a4bb29,US,2,NL,NL,0,Western,1,1961,2,1,1924,1929,US,0
26a88e5c,NL,2,NL,NL,0,Western,1,1999,2,1,1968,1976,NL,1
26abc241,NL,1,NL,NL,0,Western,1,1989,2,1,1961,1953,NL,1
26acde1e,NL,2,NL,France,1,Western,2,1966,2,1,1942,1941,NL,1
26b88d9d,NL,1,NL,NL,0,Western,0,1965,2,1,1942,1926,NL,1
26c0b545,NL,2,NL,NL,0,Western,2,1986,2,1,1956,1955,NL,1
26c4fdf5,NL,1,NL,France,1,Western,2,1982,2,1,1943,1944,NL,1
26c7bcdb,NL,1,NL,NL,0,Western,2,1970,2,1,1942,1931,NL,1
26d17e57,France,1,France,NL,1,Western,1,1950,2,1,1920,1914,France,0
26d1fd52,NL,1,NL,NL,0,Western,2,1983,2,1,1955,1954,NL,1
26d7cd60,NL,1,NL,NL,0,Western,0,1986,2,1,1948,1964,NL,1
26d98106,NL,1,NL,France,1,Western,1,1953,2,1,1925,1928,NL,1
26dadfeb,NL,2,NL,NL,0,Western,0,1950,2,1,1921,1926,NL,1
26e3c0dc,US,1,NL,NL,0,Western,0,1970,2,1,1934,1937,US,0
26fbc692,NL,1,NL,France,1,Western,0,1953,2,1,1922,1919,NL,1
26fbcce2,NL,2,France,NL,1,Western,1,1983,2,1,1961,1948,NL,1
2700d17e,NL,2,NL,NL,0,Western,2,1985,2,1,1960,1955,NL,1
2718cfb0,NL,1,US,NL,1,Western,2,1958,2,1,1928,1929,NL,1
271d3a78,NL,1,NL,NL,0,Western,1,1966,2,1,1946,1927,NL,1
2726ee8f,NL,2,France,NL,1,Western,1,1980,2,1,1953,1952,NL,1
2731176f,NL,1,NL,NL,0,Western,2,1957,2,1,1930,1933,NL,1
27331e36,France,1,NL,NL,0,Western,2,1963,2,1,1933,1926,France,0
27390ead,NL,2,NL,France,1,Western,1,1956,2,1,1929,1926,NL,1
2747a83a,NL,2,NL,NL,0,Western,1,1968,2,1,1930,1936,NL,1
27495c97,NL,1,NL,NL,0,Western,0,1965,2,1,1945,1943,NL,1
275e2656,NL,2,NL,NL,0,Western,1,1987,2,1,1953,1967,NL,1
2765251a,NL,2,NL,NL,0,Western,1,1984,2,1,1955,1953,NL,1
27680038,NL,2,NL,NL,0,Western,0,1953,2,1,1931,1932,NL,1
276e4022,NL,1,NL,NL,0,Western,1,1988,2,1,1952,1966,NL,1
2772348d,NL,1,France,NL,1,Western,2,1968,2,1,1932,1939,NL,1
2772ac9f,NL,1,France,France,2,Western,1,1953,2,1,1920,1915,NL,1
277a6062,France,1,France,France,2,Western,2,1989,2,1,1964,1951,France,0
277ca34e,NL,2,NL,France,1,Western,1,1986,2,1,1951,1948,NL,1
277ef220,NL,1,NL,France,1,Western,2,1986,2,1,1956,1964,NL,1
2782dbc7,NL,2,France,France,2,Western,1,1952,2,1,1930,1918,NL,1
27a10937,NL,2,NL,NL,0,Western,1,1954,2,1,1924,1916,NL,1
27ae386a,NL,2,NL,France,1,Western,1,1951,2,1,1928,1913,NL,1
27b6eff7,NL,2,NL,NL,0,Western,0,1955,2,1,1922,1917,NL,1
27c50ec7,NL,1,NL,NL,0,Western,2,1996,2,1,1963,1960,NL,1
27cc4b6f,NL,2,NL,NL,0,Western,2,1994,2,1,1960,1960,NL,1
27d6ebcc,NL,1,NL,NL,0,Western,2,1954,2,1,1926,1919,NL,1
27d7d46b,France,1,NL,NL,0,Western,1,1986,2,1,1961,1951,France,0
27dd4795,France,1,US,NL,1,Western,1,1981,2,1,1959,1954,France,0
27e8e3be,NL,1,NL,NL,0,Western,1,1993,2,1,1971,1962,NL,1
27ea53da,NL,2,NL,NL,0,Western,2,1983,2,1,1963,1955,NL,1
27eaabea,NL,2,Egypt,France,2,Western,1,1970,2,1,1936,1944,NL,1
27ec69d8,NL,2,NL,NL,0,Western,2,1966,2,1,1928,1935,NL,1
27ed4252,NL,2,NL,NL,0,Western,2,1998,2,1,1968,1971,NL,1
27f1edb3,NL,2,NL,NL,0,Western,0,1998,2,1,1969,1969,NL,1
27f7e6ce,NL,1,NL,NL,0,Western,2,1965,2,1,1942,1939,NL,1
280d78ea,NL,1,NL,NL,0,Western,1,1985,2,1,1950,1964,NL,1
28102d5e,NL,1,NL,France,1,Western,1,1986,2,1,1966,1958,NL,1
2818a1c8,NL,2,NL,NL,0,Western,0,1981,2,1,1959,1960,NL,1
282bbe7d,NL,1,NL,US,1,Western,0,1994,2,1,1967,1970,NL,1
2835183f,France,2,NL,NL,0,Western,0,1968,2,1,1946,1944,France,0
28393355,NL,1,NL,NL,0,Western,2,1985,2,1,1951,1958,NL,1
28424ea2,France,2,NL,NL,0,Western,1,1952,2,1,1922,1926,France,0
28561242,NL,2,NL,NL,0,Western,1,1989,2,1,1952,1956,NL,1
285b1142,NL,2,France,NL,1,Western,0,1950,2,1,1912,1924,NL,1
2868b3b1,NL,1,NL,NL,0,Western,2,1988,2,1,1967,1955,NL,1
286ea03a,NL,2,NL,NL,0,Western,2,1950,2,1,1926,1917,NL,1
28744af3,NL,1,NL,NL,0,Western,2,1954,2,1,1916,1929,NL,1
2875b71b,NL,2,France,NL,1,Western,2,1969,2,1,1930,1933,NL,1
2875bd46,NL,1,France,NL,1,Western,0,1969,2,1,1945,1944,NL,1
287c23fa,NL,1,NL,NL,0,Western,0,1965,2,1,1927,1943,NL,1
2880ab3b,NL,1,NL,NL,0,Western,2,1959,2,1,1923,1920,NL,1
2884ed98,NL,2,NL,NL,0,Western,0,1993,2,1,1972,1969,NL,1
28850f8e,NL,1,NL,NL,0,Western,2,1958,2,1,1919,1935,NL,1
28867d4b,NL,1,NL,NL,0,Western,1,1981,-,1,1945,1942,NL,1
28889055,NL,2,NL,NL,0,Western,1,1990,2,1,1962,1962,NL,1
288fc7d2,NL,1,NL,NL,0,Western,0,1986,2,1,1961,1959,NL,1
289a0058,NL,1,NL,NL,0,Western,1,1964,2,1,1927,1928,NL,1
28acb2e2,NL,2,NL,Egypt,1,Western,0,1984,2,1,1961,1960,NL,1
28b90847,NL,2,France,NL,1,Western,1,1998,2,1,1964,1971,NL,1
28c2e425,NL,1,NL,NL,0,Western,0,1982,2,1,1961,1953,NL,1
28c894b7,NL,1,France,NL,1,Western,1,1959,2,1,1934,1920,NL,1
28c96324,NL,2,NL,France,1,Western,0,1957,2,1,1932,1923,NL,1
28ce5373,NL,2,NL,France,1,Western,1,1996,2,1,1964,1975,NL,1
28d0e854,NL,-,NL,NL,0,Western,2,1992,2,1,1964,1969,NL,1
28d0ecb8,NL,2,NL,NL,0,Western,1,1981,2,1,1953,1960,NL,1
28d8b972,NL,2,NL,NL,0,Western,1,1985,2,1,1949,1953,NL,1
28de8bb3,NL,1,NL,NL,0,Western,1,1983,2,1,1957,1962,NL,1
28ea83b7,NL,2,NL,France,1,Western,1,1987,2,1,1948,1950,NL,1
28f270e7,NL,2,NL,NL,0,Western,0,1994,2,1,1968,1972,NL,1
