HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH
562da4fb,couple with children,0cb80b58,child living at home,0,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
562da4fb,couple with children,e11d0757,child living at home,0,4,1992-01-01,1993-01-01,2,2,2015.0,01,2010.0,05
b0a436f7,single person household,d1e4b544,single person,0,1,1992-01-01,1993-01-01,1,0,,--,,--
fc4fdd10,couple with children,91a48532,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
fc4fdd10,couple with children,a065a60e,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
fc4fdd10,couple with children,2e034bc2,child living at home,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
f848da2c,single parent household,245acfda,parent in single parent household,1,4,1992-01-01,1993-01-01,1,3,,--,,--
f848da2c,single parent household,140ccda3,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
f848da2c,single parent household,710c492f,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
f848da2c,single parent household,24f5df1e,child living at home,1,4,1992-01-01,1993-01-01,1,3,,--,,--
49c7f330,single person household,6c0cae68,single person,1,1,1992-01-01,1993-01-01,1,0,,--,,--
84e317f0,single person household,2c355d86,single person,0,1,1992-01-01,1993-01-01,1,0,,--,,--
8221a77b,couple with children,4332d9a0,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
8221a77b,couple with children,f5925e77,partner in couple with children,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
8221a77b,couple with children,0889e4ba,child living at home,0,3,1992-01-01,1993-01-01,2,1,2015.0,01,2010.0,05
386b0632,single person household,ed1382a2,single person,1,1,1992-01-01,1993-01-01,1,0,,--,,--
2161b400,single person household,17f5c34f,single person,0,1,1992-01-01,1993-01-01,1,0,,--,,--
5784b6c3,single person household,2ed687a6,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
d51322ef,single person household,71ed4a86,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
5e5f17bb,single parent household,cc883317,parent in single parent household,0,2,1993-01-01,1994-01-01,1,1,,--,,--
5e5f17bb,single parent household,b8b85917,child living at home,0,2,1993-01-01,1994-01-01,1,1,,--,,--
3a7629b9,couple with children,cc497336,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
3a7629b9,couple with children,63d409b8,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
3a7629b9,couple with children,55a4503d,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
3a7629b9,couple with children,c32be144,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
e94bc627,couple with children,9c1c5278,partner in couple with children,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
e94bc627,couple with children,1206949c,partner in couple with children,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
e94bc627,couple with children,d17ac422,child living at home,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
e94bc627,couple with children,afb1d667,child living at home,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
e94bc627,couple with children,e3e7553d,child living at home,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
92882bf1,single person household,66e9ba2b,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
d24d2d17,single parent household,254f7859,parent in single parent household,0,4,1993-01-01,1994-01-01,1,3,,--,,--
d24d2d17,single parent household,30197924,child living at home,0,4,1993-01-01,1994-01-01,1,3,,--,,--
d24d2d17,single parent household,f99b413e,child living at home,0,4,1993-01-01,1994-01-01,1,3,,--,,--
d24d2d17,single parent household,caffcfd9,child living at home,0,4,1993-01-01,1994-01-01,1,3,,--,,--
41651ec0,couple without children,be0a58d4,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
41651ec0,couple without children,62e811bb,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
08af5dc9,couple with children,b8432ead,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
08af5dc9,couple with children,4bfb08e0,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
08af5dc9,couple with children,e2df154c,child living at home,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
61da7cd7,single person household,36677213,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
c6187a91,single person household,461f62ba,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
ddeecec6,couple with children,c15e4cb4,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
ddeecec6,couple with children,c2d3fb66,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
ddeecec6,couple with children,98070944,child living at home,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
5391eb95,single parent household,a1e63301,parent in single parent household,0,2,1993-01-01,1994-01-01,1,1,,--,,--
5391eb95,single parent household,83848be9,child living at home,0,2,1993-01-01,1994-01-01,1,1,,--,,--
51de5bb7,couple without children,437acb0e,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
51de5bb7,couple without children,a58f8773,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
fd6a5e52,couple without children,120a256a,partner in couple without children,0,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
fd6a5e52,couple without children,887cd01c,partner in couple without children,0,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
b1d5829e,couple without children,a9998b37,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
b1d5829e,couple without children,af1b4a1b,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
ffa84504,single person household,20a30672,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
07a30e39,couple with children,2ae09b76,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
07a30e39,couple with children,8f260525,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
07a30e39,couple with children,88285fb4,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
07a30e39,couple with children,09f7a651,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
30aed750,couple with children,1cefb90b,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
30aed750,couple with children,c87c7eb3,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
30aed750,couple with children,9601a3b6,child living at home,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
50a82ac0,single person household,37aba74f,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
bdab68c0,couple with children,a553b7f9,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
bdab68c0,couple with children,ecc584e2,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
bdab68c0,couple with children,916b9948,child living at home,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
9cf2a509,couple with children,1610981e,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
9cf2a509,couple with children,9c7fae3a,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
9cf2a509,couple with children,61afa796,child living at home,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
3e27ef7b,single person household,b0a21246,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
b3578b16,single parent household,6d9cc4bb,parent in single parent household,1,4,1993-01-01,1994-01-01,1,3,,--,,--
b3578b16,single parent household,d35cf72b,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
b3578b16,single parent household,0b2f1798,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
b3578b16,single parent household,17250469,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
208bf2ca,couple with children,fde16b96,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
208bf2ca,couple with children,65a2e8d1,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
208bf2ca,couple with children,ec2e126b,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
208bf2ca,couple with children,ea0c9001,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
f4ae0934,couple with children,74fdfb73,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
f4ae0934,couple with children,f39962d5,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
f4ae0934,couple with children,34c3bf80,child living at home,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
7d9ef18c,couple with children,de5b3581,partner in couple with children,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
7d9ef18c,couple with children,853fe91f,partner in couple with children,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
7d9ef18c,couple with children,02dae9b3,child living at home,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
7d9ef18c,couple with children,ceb688ab,child living at home,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
7d9ef18c,couple with children,6b9bb414,child living at home,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
c486e628,couple with children,803211ef,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
c486e628,couple with children,90d5c62a,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
c486e628,couple with children,9ddc42d7,child living at home,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
17217684,couple with children,431cea40,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
17217684,couple with children,38f180e6,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
17217684,couple with children,8f30630d,child living at home,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
65b9c242,couple with children,bc90f08b,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
65b9c242,couple with children,9e0c9697,child living at home,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
65b9c242,couple with children,eb1e611e,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
43558405,single person household,247fbc76,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
d3ee50da,single parent household,92ad9e37,parent in single parent household,0,2,1993-01-01,1994-01-01,1,1,,--,,--
d3ee50da,single parent household,f685e86d,child living at home,0,2,1993-01-01,1994-01-01,1,1,,--,,--
807c705d,single person household,ca5c5e48,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
0fc8faa3,single person household,4f3a8f30,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
23ef24a3,single parent household,1e5842ee,parent in single parent household,0,2,1993-01-01,1994-01-01,1,1,,--,,--
23ef24a3,single parent household,61243c95,child living at home,0,2,1993-01-01,1994-01-01,1,1,,--,,--
9e61a76c,couple with children,860ec335,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
9e61a76c,couple with children,2bbc5d88,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
9e61a76c,couple with children,befc15c9,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
9e61a76c,couple with children,9b083d70,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
ccf68517,single person household,93c3b503,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
787d8e6d,single parent household,a97ae209,parent in single parent household,0,3,1993-01-01,1994-01-01,1,2,,--,,--
787d8e6d,single parent household,7c903c8b,child living at home,0,3,1993-01-01,1994-01-01,1,2,,--,,--
787d8e6d,single parent household,57c99fa1,child living at home,0,3,1993-01-01,1994-01-01,1,2,,--,,--
f83ce818,single person household,f901aeea,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
042aa557,single parent household,37490794,parent in single parent household,1,4,1993-01-01,1994-01-01,1,3,,--,,--
042aa557,single parent household,b26b57de,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
042aa557,single parent household,dd318db8,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
042aa557,single parent household,5f2120dd,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
ae909ab2,couple without children,bbe7343e,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
ae909ab2,couple without children,7cdf5a71,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
dd2f4c03,single person household,c6a4c67e,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
b55a1feb,couple without children,edecd5f5,partner in couple without children,0,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
b55a1feb,couple without children,2e738989,partner in couple without children,0,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
353a3870,single person household,16f92055,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
f97339d3,couple with children,df16a0df,partner in couple with children,1,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
f97339d3,couple with children,11590e61,partner in couple with children,1,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
f97339d3,couple with children,f531984b,child living at home,1,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
f97339d3,couple with children,3d190e9d,child living at home,1,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
13492572,couple with children,7be701c2,partner in couple with children,0,6,1993-01-01,1994-01-01,2,4,2015.0,01,2010.0,05
13492572,couple with children,d5bd699f,partner in couple with children,0,6,1993-01-01,1994-01-01,2,4,2015.0,01,2010.0,05
13492572,couple with children,ddd88a26,child living at home,0,6,1993-01-01,1994-01-01,2,4,2015.0,01,2010.0,05
13492572,couple with children,62058e8a,child living at home,0,6,1993-01-01,1994-01-01,2,4,2015.0,01,2010.0,05
13492572,couple with children,65fbc6a1,child living at home,0,6,1993-01-01,1994-01-01,2,4,2015.0,01,2010.0,05
13492572,couple with children,13cf5fcd,child living at home,0,6,1993-01-01,1994-01-01,2,4,2015.0,01,2010.0,05
a20bb171,single parent household,6c41c19b,parent in single parent household,1,5,1993-01-01,1994-01-01,1,4,,--,,--
a20bb171,single parent household,4ab62457,child living at home,1,5,1993-01-01,1994-01-01,1,4,,--,,--
a20bb171,single parent household,99bafd58,child living at home,1,5,1993-01-01,1994-01-01,1,4,,--,,--
a20bb171,single parent household,d6a8c905,child living at home,1,5,1993-01-01,1994-01-01,1,4,,--,,--
a20bb171,single parent household,79de4813,child living at home,1,5,1993-01-01,1994-01-01,1,4,,--,,--
2da09ba8,single parent household,04944dda,parent in single parent household,1,4,1993-01-01,1994-01-01,1,3,,--,,--
2da09ba8,single parent household,1d4d2171,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
2da09ba8,single parent household,1a55e142,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
2da09ba8,single parent household,03c6605f,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
322482e4,single person household,67254760,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
367b57f2,single person household,d1ccc4c3,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
85de54be,single person household,0fab8cd4,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
80bf8a50,single parent household,a514d4f3,parent in single parent household,0,2,1993-01-01,1994-01-01,1,1,,--,,--
80bf8a50,single parent household,1ee23966,child living at home,0,2,1993-01-01,1994-01-01,1,1,,--,,--
d70d768a,single person household,072ccdc5,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
e50eb526,single parent household,2e4a5aa7,parent in single parent household,1,2,1993-01-01,1994-01-01,1,1,,--,,--
e50eb526,single parent household,81a8ea3b,child living at home,1,2,1993-01-01,1994-01-01,1,1,,--,,--
5b428d03,couple with children,7b44a300,partner in couple with children,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
5b428d03,couple with children,6cce39de,child living at home,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
5b428d03,couple with children,d9b62737,child living at home,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
5b428d03,couple with children,ed2760e4,child living at home,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
5b428d03,couple with children,d5eae13d,partner in couple with children,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
a6356b00,couple without children,677fc918,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
a6356b00,couple without children,203f72e6,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
34849634,single person household,8cd4678b,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
a579f418,single person household,9474d614,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
55435dbf,couple with children,504039d3,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
55435dbf,couple with children,1c0cf745,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
55435dbf,couple with children,ac9bbba4,child living at home,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
84cf3aad,couple with children,c287df82,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
84cf3aad,couple with children,3ecfc7de,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
84cf3aad,couple with children,f0a19adc,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
84cf3aad,couple with children,9ce02f22,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
0e1d9545,couple with children,73714a86,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
0e1d9545,couple with children,0f66bec7,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
0e1d9545,couple with children,870e1532,child living at home,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
4dfb7df9,couple with children,f47b6fce,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
4dfb7df9,couple with children,c85b38d8,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
4dfb7df9,couple with children,17184c4d,child living at home,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
a7ec39ff,single person household,9c292f29,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
f5cc33d8,single person household,201b0565,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
4f087b3d,single parent household,c70f17db,parent in single parent household,0,5,1993-01-01,1994-01-01,1,4,,--,,--
4f087b3d,single parent household,94c7184b,child living at home,0,5,1993-01-01,1994-01-01,1,4,,--,,--
4f087b3d,single parent household,2ecb427e,child living at home,0,5,1993-01-01,1994-01-01,1,4,,--,,--
4f087b3d,single parent household,b45bb496,child living at home,0,5,1993-01-01,1994-01-01,1,4,,--,,--
4f087b3d,single parent household,d3229821,child living at home,0,5,1993-01-01,1994-01-01,1,4,,--,,--
db8b38de,single person household,fbbcb456,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
7d97b9f0,single parent household,cd698d09,parent in single parent household,1,2,1993-01-01,1994-01-01,1,1,,--,,--
7d97b9f0,single parent household,75a3339c,child living at home,1,2,1993-01-01,1994-01-01,1,1,,--,,--
8c956c29,couple with children,7ea2119e,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
8c956c29,couple with children,52ba2d04,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
8c956c29,couple with children,5f17663d,child living at home,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
189a8f87,couple with children,2ba7c873,partner in couple with children,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
189a8f87,couple with children,563983b6,child living at home,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
189a8f87,couple with children,ba1c5bc0,child living at home,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
189a8f87,couple with children,f7117412,child living at home,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
189a8f87,couple with children,b31cdcdb,partner in couple with children,1,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
759c0a93,couple with children,741b384b,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
759c0a93,couple with children,2f0335cb,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
759c0a93,couple with children,a4c87342,child living at home,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
1e165fa0,single person household,3021edf4,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
062e49e9,single parent household,a5d88020,parent in single parent household,1,4,1993-01-01,1994-01-01,1,3,,--,,--
062e49e9,single parent household,4551f63c,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
062e49e9,single parent household,1a42e2e9,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
062e49e9,single parent household,f5126b48,child living at home,1,4,1993-01-01,1994-01-01,1,3,,--,,--
55bdc77e,single person household,ad20a108,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
22a31cbb,single person household,e3ee2e3d,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
0dc2dd55,couple with children,972eff55,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
0dc2dd55,couple with children,5e610014,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
0dc2dd55,couple with children,2d457d5f,child living at home,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
23ae98aa,single person household,6c7764d8,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
ddf33ad3,single parent household,28a097ab,parent in single parent household,1,3,1993-01-01,1994-01-01,1,2,,--,,--
ddf33ad3,single parent household,2707d4e0,child living at home,1,3,1993-01-01,1994-01-01,1,2,,--,,--
ddf33ad3,single parent household,21ecd92b,child living at home,1,3,1993-01-01,1994-01-01,1,2,,--,,--
81dc7733,couple with children,a89314ac,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
81dc7733,couple with children,9554b54a,partner in couple with children,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
81dc7733,couple with children,b8d0c87e,child living at home,1,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
100e7e07,couple with children,761df28c,partner in couple with children,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
100e7e07,couple with children,0e30c262,child living at home,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
100e7e07,couple with children,87262451,child living at home,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
100e7e07,couple with children,8d478736,partner in couple with children,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
100e7e07,couple with children,242743fd,child living at home,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
890f5cfe,couple with children,d5268abb,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
890f5cfe,couple with children,56b25cd7,partner in couple with children,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
890f5cfe,couple with children,2d1ba0a5,child living at home,0,3,1993-01-01,1994-01-01,2,1,2015.0,01,2010.0,05
1db0cd85,couple with children,c2921c9d,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
1db0cd85,couple with children,4d5f864d,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
1db0cd85,couple with children,934a8721,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
1db0cd85,couple with children,e9e764db,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
4a40e9d6,couple with children,b58fe046,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
4a40e9d6,couple with children,0d302242,partner in couple with children,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
4a40e9d6,couple with children,5d71be0c,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
4a40e9d6,couple with children,ca9fd164,child living at home,0,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
3f74dfbc,couple with children,d13d415e,partner in couple with children,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
3f74dfbc,couple with children,678c09b8,partner in couple with children,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
3f74dfbc,couple with children,99cb489e,child living at home,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
3f74dfbc,couple with children,73f902fd,child living at home,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
3f74dfbc,couple with children,ff6b9882,child living at home,0,5,1993-01-01,1994-01-01,2,3,2015.0,01,2010.0,05
98494c83,couple without children,d487548b,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
98494c83,couple without children,cf188e9e,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
eaf89eb1,single person household,678a040d,single person,0,1,1993-01-01,1994-01-01,1,0,,--,,--
eb8f89c0,single parent household,f435ebc1,parent in single parent household,1,3,1993-01-01,1994-01-01,1,2,,--,,--
eb8f89c0,single parent household,d9eda59d,child living at home,1,3,1993-01-01,1994-01-01,1,2,,--,,--
eb8f89c0,single parent household,2061558e,child living at home,1,3,1993-01-01,1994-01-01,1,2,,--,,--
1b10bc97,couple without children,841030bd,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
1b10bc97,couple without children,359722c1,partner in couple without children,1,2,1993-01-01,1994-01-01,2,0,2015.0,01,2010.0,05
ee7fb9e8,single person household,6683d80c,single person,1,1,1993-01-01,1994-01-01,1,0,,--,,--
cb8a8b0d,single parent household,3f4b9328,parent in single parent household,0,2,1993-01-01,1994-01-01,1,1,,--,,--
cb8a8b0d,single parent household,20196197,child living at home,0,2,1993-01-01,1994-01-01,1,1,,--,,--
6f4cea9d,couple with children,6fabb65e,partner in couple with children,1,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
6f4cea9d,couple with children,c338ceb1,child living at home,1,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
6f4cea9d,couple with children,19fb8f76,child living at home,1,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
6f4cea9d,couple with children,46b505a6,partner in couple with children,1,4,1993-01-01,1994-01-01,2,2,2015.0,01,2010.0,05
8025da67,single parent household,c8625a2a,parent in single parent household,0,3,1993-01-01,1994-01-01,1,2,,--,,--
