,HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,EVENT,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH,hierarchy,ID_list_child living at home,ID_list_parent in single parent household,ID_list_partner in couple with children,ID_list_partner in couple without children,ID_list_single person
302,c6187a91,single parent household,a58f8773,child living at home,1,3,1991-01-01,1992-01-01,1,2,nothing,,--,,--,c6187a91_1991-01-01,"['a9998b37', 'a58f8773']",['437acb0e'],,,
303,e16d39e3,couple with children,fde16b96,partner in couple with children,1,4,1991-01-01,1992-01-01,2,2,child_born,2015.0,01,2010.0,05,e16d39e3_1991-01-01,"['887cd01c', '0dd786a4']",,"['fde16b96', '65a2e8d1']",,
304,e16d39e3,couple with children,65a2e8d1,partner in couple with children,1,4,1991-01-01,1992-01-01,2,2,child_born,2015.0,01,2010.0,05,e16d39e3_1991-01-01,"['887cd01c', '0dd786a4']",,"['fde16b96', '65a2e8d1']",,
305,e16d39e3,couple with children,887cd01c,child living at home,1,4,1991-01-01,1992-01-01,2,2,child_born,2015.0,01,2010.0,05,e16d39e3_1991-01-01,"['887cd01c', '0dd786a4']",,"['fde16b96', '65a2e8d1']",,
306,e16d39e3,couple with children,0dd786a4,child living at home,1,4,1991-01-01,1992-01-01,2,2,child_born,2015.0,01,2010.0,05,e16d39e3_1991-01-01,"['887cd01c', '0dd786a4']",,"['fde16b96', '65a2e8d1']",,
307,fd6a5e52,couple with children,20a30672,partner in couple with children,1,3,1991-01-01,1992-01-01,2,1,nothing,2015.0,01,2010.0,05,fd6a5e52_1991-01-01,['2ae09b76'],,"['20a30672', 'af1b4a1b']",,
308,fd6a5e52,couple with children,af1b4a1b,partner in couple with children,1,3,1991-01-01,1992-01-01,2,1,nothing,2015.0,01,2010.0,05,fd6a5e52_1991-01-01,['2ae09b76'],,"['20a30672', 'af1b4a1b']",,
309,fd6a5e52,couple with children,2ae09b76,child living at home,1,3,1991-01-01,1992-01-01,2,1,nothing,2015.0,01,2010.0,05,fd6a5e52_1991-01-01,['2ae09b76'],,"['20a30672', 'af1b4a1b']",,
310,5391eb95,couple with children,8f260525,partner in couple with children,1,3,1991-01-01,1992-01-01,2,1,child_born,2015.0,01,2010.0,05,5391eb95_1991-01-01,['c198ade7'],,"['8f260525', '88285fb4']",,
311,5391eb95,couple with children,88285fb4,partner in couple with children,1,3,1991-01-01,1992-01-01,2,1,child_born,2015.0,01,2010.0,05,5391eb95_1991-01-01,['c198ade7'],,"['8f260525', '88285fb4']",,
312,5391eb95,couple with children,c198ade7,child living at home,1,3,1991-01-01,1992-01-01,2,1,child_born,2015.0,01,2010.0,05,5391eb95_1991-01-01,['c198ade7'],,"['8f260525', '88285fb4']",,
313,51de5bb7,couple with children,09f7a651,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,51de5bb7_1991-01-01,"['c87c7eb3', '1610981e', '37aba74f']",,"['09f7a651', '1cefb90b']",,
314,51de5bb7,couple with children,1cefb90b,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,51de5bb7_1991-01-01,"['c87c7eb3', '1610981e', '37aba74f']",,"['09f7a651', '1cefb90b']",,
315,51de5bb7,couple with children,c87c7eb3,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,51de5bb7_1991-01-01,"['c87c7eb3', '1610981e', '37aba74f']",,"['09f7a651', '1cefb90b']",,
316,51de5bb7,couple with children,1610981e,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,51de5bb7_1991-01-01,"['c87c7eb3', '1610981e', '37aba74f']",,"['09f7a651', '1cefb90b']",,
317,51de5bb7,couple with children,37aba74f,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,51de5bb7_1991-01-01,"['c87c7eb3', '1610981e', '37aba74f']",,"['09f7a651', '1cefb90b']",,
318,a9e34ed8,couple with children,a553b7f9,partner in couple with children,1,4,1991-01-01,1992-01-01,2,2,nothing,2015.0,01,2010.0,05,a9e34ed8_1991-01-01,"['916b9948', '6d9cc4bb']",,"['a553b7f9', 'ecc584e2']",,
319,a9e34ed8,couple with children,ecc584e2,partner in couple with children,1,4,1991-01-01,1992-01-01,2,2,nothing,2015.0,01,2010.0,05,a9e34ed8_1991-01-01,"['916b9948', '6d9cc4bb']",,"['a553b7f9', 'ecc584e2']",,
320,a9e34ed8,couple with children,916b9948,child living at home,1,4,1991-01-01,1992-01-01,2,2,nothing,2015.0,01,2010.0,05,a9e34ed8_1991-01-01,"['916b9948', '6d9cc4bb']",,"['a553b7f9', 'ecc584e2']",,
321,a9e34ed8,couple with children,6d9cc4bb,child living at home,1,4,1991-01-01,1992-01-01,2,2,nothing,2015.0,01,2010.0,05,a9e34ed8_1991-01-01,"['916b9948', '6d9cc4bb']",,"['a553b7f9', 'ecc584e2']",,
322,208bf2ca,single parent household,9c7fae3a,parent in single parent household,1,2,1991-01-01,1992-01-01,1,1,nothing,,--,,--,208bf2ca_1991-01-01,['d35cf72b'],['9c7fae3a'],,,
323,208bf2ca,single parent household,d35cf72b,child living at home,1,2,1991-01-01,1992-01-01,1,1,nothing,,--,,--,208bf2ca_1991-01-01,['d35cf72b'],['9c7fae3a'],,,
324,9764e583,couple without children,0b2f1798,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,couple_formed,2015.0,01,2010.0,05,9764e583_1991-01-01,,,,"['0b2f1798', 'b0a21246']",
325,9764e583,couple without children,b0a21246,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,couple_formed,2015.0,01,2010.0,05,9764e583_1991-01-01,,,,"['0b2f1798', 'b0a21246']",
326,3a7629b9,single person household,ec2e126b,single person,0,1,1991-01-01,1992-01-01,1,0,breakup,,--,,--,3a7629b9_1991-01-01,,,,,['ec2e126b']
327,07a30e39,single person household,17250469,single person,0,1,1991-01-01,1992-01-01,1,0,breakup,,--,,--,07a30e39_1991-01-01,,,,,['17250469']
328,30aed750,single parent household,de5b3581,parent in single parent household,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,30aed750_1991-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']",['de5b3581'],,,
329,30aed750,single parent household,74fdfb73,child living at home,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,30aed750_1991-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']",['de5b3581'],,,
330,30aed750,single parent household,f39962d5,child living at home,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,30aed750_1991-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']",['de5b3581'],,,
331,30aed750,single parent household,34c3bf80,child living at home,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,30aed750_1991-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']",['de5b3581'],,,
332,9cf2a509,couple with children,853fe91f,partner in couple with children,1,4,1991-01-01,1992-01-01,2,2,couple_formed,2015.0,01,2010.0,05,9cf2a509_1991-01-01,"['02dae9b3', '6b9bb414']",,"['853fe91f', 'ceb688ab']",,
333,9cf2a509,couple with children,02dae9b3,child living at home,1,4,1991-01-01,1992-01-01,2,2,couple_formed,2015.0,01,2010.0,05,9cf2a509_1991-01-01,"['02dae9b3', '6b9bb414']",,"['853fe91f', 'ceb688ab']",,
334,9cf2a509,couple with children,ceb688ab,partner in couple with children,1,4,1991-01-01,1992-01-01,2,2,couple_formed,2015.0,01,2010.0,05,9cf2a509_1991-01-01,"['02dae9b3', '6b9bb414']",,"['853fe91f', 'ceb688ab']",,
335,9cf2a509,couple with children,6b9bb414,child living at home,1,4,1991-01-01,1992-01-01,2,2,couple_formed,2015.0,01,2010.0,05,9cf2a509_1991-01-01,"['02dae9b3', '6b9bb414']",,"['853fe91f', 'ceb688ab']",,
336,bdab68c0,couple with children,803211ef,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,bdab68c0_1991-01-01,"['431cea40', 'bc90f08b', '9e0c9697']",,"['803211ef', '90d5c62a']",,
337,bdab68c0,couple with children,90d5c62a,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,bdab68c0_1991-01-01,"['431cea40', 'bc90f08b', '9e0c9697']",,"['803211ef', '90d5c62a']",,
338,bdab68c0,couple with children,431cea40,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,bdab68c0_1991-01-01,"['431cea40', 'bc90f08b', '9e0c9697']",,"['803211ef', '90d5c62a']",,
339,bdab68c0,couple with children,bc90f08b,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,bdab68c0_1991-01-01,"['431cea40', 'bc90f08b', '9e0c9697']",,"['803211ef', '90d5c62a']",,
340,bdab68c0,couple with children,9e0c9697,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,bdab68c0_1991-01-01,"['431cea40', 'bc90f08b', '9e0c9697']",,"['803211ef', '90d5c62a']",,
341,cf157266,single parent household,8f30630d,parent in single parent household,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,cf157266_1991-01-01,"['2bbc5d88', 'befc15c9', '92ad9e37']",['8f30630d'],,,
342,cf157266,single parent household,2bbc5d88,child living at home,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,cf157266_1991-01-01,"['2bbc5d88', 'befc15c9', '92ad9e37']",['8f30630d'],,,
343,cf157266,single parent household,befc15c9,child living at home,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,cf157266_1991-01-01,"['2bbc5d88', 'befc15c9', '92ad9e37']",['8f30630d'],,,
344,cf157266,single parent household,92ad9e37,child living at home,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,cf157266_1991-01-01,"['2bbc5d88', 'befc15c9', '92ad9e37']",['8f30630d'],,,
345,8ac37fe0,couple with children,eb1e611e,partner in couple with children,1,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,8ac37fe0_1991-01-01,"['1e5842ee', '247fbc76', '61243c95']",,"['eb1e611e', 'f685e86d']",,
346,8ac37fe0,couple with children,f685e86d,partner in couple with children,1,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,8ac37fe0_1991-01-01,"['1e5842ee', '247fbc76', '61243c95']",,"['eb1e611e', 'f685e86d']",,
347,8ac37fe0,couple with children,1e5842ee,child living at home,1,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,8ac37fe0_1991-01-01,"['1e5842ee', '247fbc76', '61243c95']",,"['eb1e611e', 'f685e86d']",,
348,8ac37fe0,couple with children,247fbc76,child living at home,1,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,8ac37fe0_1991-01-01,"['1e5842ee', '247fbc76', '61243c95']",,"['eb1e611e', 'f685e86d']",,
349,8ac37fe0,couple with children,61243c95,child living at home,1,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,8ac37fe0_1991-01-01,"['1e5842ee', '247fbc76', '61243c95']",,"['eb1e611e', 'f685e86d']",,
350,b3578b16,couple without children,38f180e6,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,couple_formed,2015.0,01,2010.0,05,b3578b16_1991-01-01,,,,"['38f180e6', '4f3a8f30']",
351,b3578b16,couple without children,4f3a8f30,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,couple_formed,2015.0,01,2010.0,05,b3578b16_1991-01-01,,,,"['38f180e6', '4f3a8f30']",
352,f4ae0934,couple without children,ca5c5e48,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,nothing,2015.0,01,2010.0,05,f4ae0934_1991-01-01,,,,"['ca5c5e48', '860ec335']",
353,f4ae0934,couple without children,860ec335,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,nothing,2015.0,01,2010.0,05,f4ae0934_1991-01-01,,,,"['ca5c5e48', '860ec335']",
354,4308ee85,single person household,9b083d70,single person,0,1,1991-01-01,1992-01-01,1,0,nothing,,--,,--,4308ee85_1991-01-01,,,,,['9b083d70']
355,c486e628,couple with children,a97ae209,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,c486e628_1991-01-01,"['93c3b503', '57c99fa1', '37490794']",,"['a97ae209', '7c903c8b']",,
356,c486e628,couple with children,7c903c8b,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,c486e628_1991-01-01,"['93c3b503', '57c99fa1', '37490794']",,"['a97ae209', '7c903c8b']",,
357,c486e628,couple with children,93c3b503,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,c486e628_1991-01-01,"['93c3b503', '57c99fa1', '37490794']",,"['a97ae209', '7c903c8b']",,
358,c486e628,couple with children,57c99fa1,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,c486e628_1991-01-01,"['93c3b503', '57c99fa1', '37490794']",,"['a97ae209', '7c903c8b']",,
359,c486e628,couple with children,37490794,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,c486e628_1991-01-01,"['93c3b503', '57c99fa1', '37490794']",,"['a97ae209', '7c903c8b']",,
360,17217684,single person household,f901aeea,single person,1,1,1991-01-01,1992-01-01,1,0,nothing,,--,,--,17217684_1991-01-01,,,,,['f901aeea']
361,b1d5829e,single person household,d5bd699f,single person,0,1,1991-01-01,1992-01-01,1,0,breakup,,--,,--,b1d5829e_1991-01-01,,,,,['d5bd699f']
362,fd54ae85,single person household,edecd5f5,single person,1,1,1991-01-01,1992-01-01,1,0,breakup,,--,,--,fd54ae85_1991-01-01,,,,,['edecd5f5']
363,bcd22a38,single parent household,ddd88a26,parent in single parent household,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,bcd22a38_1991-01-01,"['62058e8a', '65fbc6a1', 'bbe7343e']",['ddd88a26'],,,
364,bcd22a38,single parent household,62058e8a,child living at home,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,bcd22a38_1991-01-01,"['62058e8a', '65fbc6a1', 'bbe7343e']",['ddd88a26'],,,
365,bcd22a38,single parent household,65fbc6a1,child living at home,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,bcd22a38_1991-01-01,"['62058e8a', '65fbc6a1', 'bbe7343e']",['ddd88a26'],,,
366,bcd22a38,single parent household,bbe7343e,child living at home,0,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,bcd22a38_1991-01-01,"['62058e8a', '65fbc6a1', 'bbe7343e']",['ddd88a26'],,,
367,d3ee50da,single person household,7cdf5a71,single person,0,1,1991-01-01,1992-01-01,1,0,nothing,,--,,--,d3ee50da_1991-01-01,,,,,['7cdf5a71']
368,23ef24a3,couple without children,df16a0df,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,nothing,2015.0,01,2010.0,05,23ef24a3_1991-01-01,,,,"['df16a0df', 'c6a4c67e']",
369,23ef24a3,couple without children,c6a4c67e,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,nothing,2015.0,01,2010.0,05,23ef24a3_1991-01-01,,,,"['df16a0df', 'c6a4c67e']",
370,e4149f12,single parent household,16f92055,parent in single parent household,1,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,e4149f12_1991-01-01,"['2e738989', '11590e61', 'f531984b']",['16f92055'],,,
371,e4149f12,single parent household,2e738989,child living at home,1,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,e4149f12_1991-01-01,"['2e738989', '11590e61', 'f531984b']",['16f92055'],,,
372,e4149f12,single parent household,11590e61,child living at home,1,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,e4149f12_1991-01-01,"['2e738989', '11590e61', 'f531984b']",['16f92055'],,,
373,e4149f12,single parent household,f531984b,child living at home,1,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,e4149f12_1991-01-01,"['2e738989', '11590e61', 'f531984b']",['16f92055'],,,
374,bf77c58e,single person household,7be701c2,single person,1,1,1991-01-01,1992-01-01,1,0,breakup,,--,,--,bf77c58e_1991-01-01,,,,,['7be701c2']
375,7567409a,single parent household,3d190e9d,parent in single parent household,1,2,1991-01-01,1992-01-01,1,1,breakup,,--,,--,7567409a_1991-01-01,['13cf5fcd'],['3d190e9d'],,,
376,7567409a,single parent household,13cf5fcd,child living at home,1,2,1991-01-01,1992-01-01,1,1,breakup,,--,,--,7567409a_1991-01-01,['13cf5fcd'],['3d190e9d'],,,
377,787d8e6d,couple with children,6c41c19b,partner in couple with children,1,3,1991-01-01,1992-01-01,2,1,child_born,2015.0,01,2010.0,05,787d8e6d_1991-01-01,['738e4b52'],,"['6c41c19b', '4ab62457']",,
378,787d8e6d,couple with children,4ab62457,partner in couple with children,1,3,1991-01-01,1992-01-01,2,1,child_born,2015.0,01,2010.0,05,787d8e6d_1991-01-01,['738e4b52'],,"['6c41c19b', '4ab62457']",,
379,787d8e6d,couple with children,738e4b52,child living at home,1,3,1991-01-01,1992-01-01,2,1,child_born,2015.0,01,2010.0,05,787d8e6d_1991-01-01,['738e4b52'],,"['6c41c19b', '4ab62457']",,
380,65b9c242,couple with children,b26b57de,partner in couple with children,1,4,1991-01-01,1992-01-01,2,2,couple_formed,2015.0,01,2010.0,05,65b9c242_1991-01-01,"['dd318db8', '5f2120dd']",,"['b26b57de', '99bafd58']",,
381,65b9c242,couple with children,dd318db8,child living at home,1,4,1991-01-01,1992-01-01,2,2,couple_formed,2015.0,01,2010.0,05,65b9c242_1991-01-01,"['dd318db8', '5f2120dd']",,"['b26b57de', '99bafd58']",,
382,65b9c242,couple with children,5f2120dd,child living at home,1,4,1991-01-01,1992-01-01,2,2,couple_formed,2015.0,01,2010.0,05,65b9c242_1991-01-01,"['dd318db8', '5f2120dd']",,"['b26b57de', '99bafd58']",,
383,65b9c242,couple with children,99bafd58,partner in couple with children,1,4,1991-01-01,1992-01-01,2,2,couple_formed,2015.0,01,2010.0,05,65b9c242_1991-01-01,"['dd318db8', '5f2120dd']",,"['b26b57de', '99bafd58']",,
384,042aa557,single person household,d6a8c905,single person,0,1,1991-01-01,1992-01-01,1,0,nothing,,--,,--,042aa557_1991-01-01,,,,,['d6a8c905']
385,788e1575,single parent household,1d4d2171,parent in single parent household,1,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,788e1575_1991-01-01,"['1a55e142', '03c6605f', '67254760']",['1d4d2171'],,,
386,788e1575,single parent household,1a55e142,child living at home,1,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,788e1575_1991-01-01,"['1a55e142', '03c6605f', '67254760']",['1d4d2171'],,,
387,788e1575,single parent household,03c6605f,child living at home,1,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,788e1575_1991-01-01,"['1a55e142', '03c6605f', '67254760']",['1d4d2171'],,,
388,788e1575,single parent household,67254760,child living at home,1,4,1991-01-01,1992-01-01,1,3,nothing,,--,,--,788e1575_1991-01-01,"['1a55e142', '03c6605f', '67254760']",['1d4d2171'],,,
389,ae909ab2,couple with children,7b44a300,partner in couple with children,0,4,1991-01-01,1992-01-01,2,2,nothing,2015.0,01,2010.0,05,ae909ab2_1991-01-01,"['6cce39de', 'd9b62737']",,"['7b44a300', 'f47b6fce']",,
390,ae909ab2,couple with children,f47b6fce,partner in couple with children,0,4,1991-01-01,1992-01-01,2,2,nothing,2015.0,01,2010.0,05,ae909ab2_1991-01-01,"['6cce39de', 'd9b62737']",,"['7b44a300', 'f47b6fce']",,
391,ae909ab2,couple with children,6cce39de,child living at home,0,4,1991-01-01,1992-01-01,2,2,nothing,2015.0,01,2010.0,05,ae909ab2_1991-01-01,"['6cce39de', 'd9b62737']",,"['7b44a300', 'f47b6fce']",,
392,ae909ab2,couple with children,d9b62737,child living at home,0,4,1991-01-01,1992-01-01,2,2,nothing,2015.0,01,2010.0,05,ae909ab2_1991-01-01,"['6cce39de', 'd9b62737']",,"['7b44a300', 'f47b6fce']",,
393,f97339d3,couple with children,ed2760e4,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,f97339d3_1991-01-01,"['0fab8cd4', '1ee23966', '2e4a5aa7']",,"['ed2760e4', 'a514d4f3']",,
394,f97339d3,couple with children,a514d4f3,partner in couple with children,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,f97339d3_1991-01-01,"['0fab8cd4', '1ee23966', '2e4a5aa7']",,"['ed2760e4', 'a514d4f3']",,
395,f97339d3,couple with children,0fab8cd4,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,f97339d3_1991-01-01,"['0fab8cd4', '1ee23966', '2e4a5aa7']",,"['ed2760e4', 'a514d4f3']",,
396,f97339d3,couple with children,1ee23966,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,f97339d3_1991-01-01,"['0fab8cd4', '1ee23966', '2e4a5aa7']",,"['ed2760e4', 'a514d4f3']",,
397,f97339d3,couple with children,2e4a5aa7,child living at home,0,5,1991-01-01,1992-01-01,2,3,nothing,2015.0,01,2010.0,05,f97339d3_1991-01-01,"['0fab8cd4', '1ee23966', '2e4a5aa7']",,"['ed2760e4', 'a514d4f3']",,
398,b55a1feb,couple with children,677fc918,partner in couple with children,1,7,1991-01-01,1992-01-01,2,5,couple_formed,2015.0,01,2010.0,05,b55a1feb_1991-01-01,"['04944dda', 'd1ccc4c3', 'd5eae13d', '73714a86', '2ba7c873']",,"['677fc918', '072ccdc5']",,
399,b55a1feb,couple with children,04944dda,child living at home,1,7,1991-01-01,1992-01-01,2,5,couple_formed,2015.0,01,2010.0,05,b55a1feb_1991-01-01,"['04944dda', 'd1ccc4c3', 'd5eae13d', '73714a86', '2ba7c873']",,"['677fc918', '072ccdc5']",,
400,b55a1feb,couple with children,d1ccc4c3,child living at home,1,7,1991-01-01,1992-01-01,2,5,couple_formed,2015.0,01,2010.0,05,b55a1feb_1991-01-01,"['04944dda', 'd1ccc4c3', 'd5eae13d', '73714a86', '2ba7c873']",,"['677fc918', '072ccdc5']",,
401,b55a1feb,couple with children,072ccdc5,partner in couple with children,1,7,1991-01-01,1992-01-01,2,5,couple_formed,2015.0,01,2010.0,05,b55a1feb_1991-01-01,"['04944dda', 'd1ccc4c3', 'd5eae13d', '73714a86', '2ba7c873']",,"['677fc918', '072ccdc5']",,
402,b55a1feb,couple with children,d5eae13d,child living at home,1,7,1991-01-01,1992-01-01,2,5,couple_formed,2015.0,01,2010.0,05,b55a1feb_1991-01-01,"['04944dda', 'd1ccc4c3', 'd5eae13d', '73714a86', '2ba7c873']",,"['677fc918', '072ccdc5']",,
403,b55a1feb,couple with children,73714a86,child living at home,1,7,1991-01-01,1992-01-01,2,5,couple_formed,2015.0,01,2010.0,05,b55a1feb_1991-01-01,"['04944dda', 'd1ccc4c3', 'd5eae13d', '73714a86', '2ba7c873']",,"['677fc918', '072ccdc5']",,
404,b55a1feb,couple with children,2ba7c873,child living at home,1,7,1991-01-01,1992-01-01,2,5,couple_formed,2015.0,01,2010.0,05,b55a1feb_1991-01-01,"['04944dda', 'd1ccc4c3', 'd5eae13d', '73714a86', '2ba7c873']",,"['677fc918', '072ccdc5']",,
405,61ca8b48,single parent household,203f72e6,parent in single parent household,0,2,1991-01-01,1992-01-01,1,1,child_born,,--,,--,61ca8b48_1991-01-01,['c5385471'],['203f72e6'],,,
406,61ca8b48,single parent household,c5385471,child living at home,0,2,1991-01-01,1992-01-01,1,1,child_born,,--,,--,61ca8b48_1991-01-01,['c5385471'],['203f72e6'],,,
407,687ba355,couple without children,563983b6,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,nothing,2015.0,01,2010.0,05,687ba355_1991-01-01,,,,"['563983b6', 'ba1c5bc0']",
408,687ba355,couple without children,ba1c5bc0,partner in couple without children,1,2,1991-01-01,1992-01-01,2,0,nothing,2015.0,01,2010.0,05,687ba355_1991-01-01,,,,"['563983b6', 'ba1c5bc0']",
409,ac244253,single person household,1c0cf745,single person,0,1,1991-01-01,1992-01-01,1,0,breakup,,--,,--,ac244253_1991-01-01,,,,,['1c0cf745']
410,a6356b00,single person household,504039d3,single person,1,1,1991-01-01,1992-01-01,1,0,breakup,,--,,--,a6356b00_1991-01-01,,,,,['504039d3']
411,a20bb171,couple with children,f7117412,partner in couple with children,1,5,1991-01-01,1992-01-01,2,3,couple_formed,2015.0,01,2010.0,05,a20bb171_1991-01-01,"['9474d614', '8cd4678b', '3ecfc7de']",,"['f7117412', 'c287df82']",,
412,a20bb171,couple with children,9474d614,child living at home,1,5,1991-01-01,1992-01-01,2,3,couple_formed,2015.0,01,2010.0,05,a20bb171_1991-01-01,"['9474d614', '8cd4678b', '3ecfc7de']",,"['f7117412', 'c287df82']",,
413,a20bb171,couple with children,8cd4678b,child living at home,1,5,1991-01-01,1992-01-01,2,3,couple_formed,2015.0,01,2010.0,05,a20bb171_1991-01-01,"['9474d614', '8cd4678b', '3ecfc7de']",,"['f7117412', 'c287df82']",,
414,a20bb171,couple with children,c287df82,partner in couple with children,1,5,1991-01-01,1992-01-01,2,3,couple_formed,2015.0,01,2010.0,05,a20bb171_1991-01-01,"['9474d614', '8cd4678b', '3ecfc7de']",,"['f7117412', 'c287df82']",,
415,a20bb171,couple with children,3ecfc7de,child living at home,1,5,1991-01-01,1992-01-01,2,3,couple_formed,2015.0,01,2010.0,05,a20bb171_1991-01-01,"['9474d614', '8cd4678b', '3ecfc7de']",,"['f7117412', 'c287df82']",,
416,eebe68ff,couple with children,f0a19adc,partner in couple with children,0,3,1991-01-01,1992-01-01,2,1,nothing,2015.0,01,2010.0,05,eebe68ff_1991-01-01,['0f66bec7'],,"['f0a19adc', '9ce02f22']",,
417,eebe68ff,couple with children,9ce02f22,partner in couple with children,0,3,1991-01-01,1992-01-01,2,1,nothing,2015.0,01,2010.0,05,eebe68ff_1991-01-01,['0f66bec7'],,"['f0a19adc', '9ce02f22']",,
418,eebe68ff,couple with children,0f66bec7,child living at home,0,3,1991-01-01,1992-01-01,2,1,nothing,2015.0,01,2010.0,05,eebe68ff_1991-01-01,['0f66bec7'],,"['f0a19adc', '9ce02f22']",,
419,80bf8a50,couple with children,9c292f29,partner in couple with children,1,6,1991-01-01,1992-01-01,2,4,child_born,2015.0,01,2010.0,05,80bf8a50_1991-01-01,"['c70f17db', '201b0565', '94c7184b', '7d668906']",,"['9c292f29', 'c85b38d8']",,
420,80bf8a50,couple with children,c85b38d8,partner in couple with children,1,6,1991-01-01,1992-01-01,2,4,child_born,2015.0,01,2010.0,05,80bf8a50_1991-01-01,"['c70f17db', '201b0565', '94c7184b', '7d668906']",,"['9c292f29', 'c85b38d8']",,
421,80bf8a50,couple with children,c70f17db,child living at home,1,6,1991-01-01,1992-01-01,2,4,child_born,2015.0,01,2010.0,05,80bf8a50_1991-01-01,"['c70f17db', '201b0565', '94c7184b', '7d668906']",,"['9c292f29', 'c85b38d8']",,
422,80bf8a50,couple with children,201b0565,child living at home,1,6,1991-01-01,1992-01-01,2,4,child_born,2015.0,01,2010.0,05,80bf8a50_1991-01-01,"['c70f17db', '201b0565', '94c7184b', '7d668906']",,"['9c292f29', 'c85b38d8']",,
423,80bf8a50,couple with children,94c7184b,child living at home,1,6,1991-01-01,1992-01-01,2,4,child_born,2015.0,01,2010.0,05,80bf8a50_1991-01-01,"['c70f17db', '201b0565', '94c7184b', '7d668906']",,"['9c292f29', 'c85b38d8']",,
